tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
PI47-6a_LP-DIR-T16	PI47-6a_LP-DIR-T	PI47-6a	    3.3	032.5	 73.7 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:17:35	LT-T-Z:LP-DIR-T	g	169	u	8	273			pmagpy-4.2.19	1.29e-08	7.22e-10	2.37e-10	2.33e-10
PI47-6a_LP-DIR-T17	PI47-6a_LP-DIR-T	PI47-6a	    2.6	032.4	 72.1 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 16:58:44	LT-T-Z:LP-DIR-T	g	170	u	8	273			pmagpy-4.2.19	1.04e-08	4.45e-10	1.70e-10	2.46e-10
PI47-6a_LP-DIR-T18	PI47-6a_LP-DIR-T	PI47-6a	    2.8	010.1	 71.2 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:44:08	LT-T-Z:LP-DIR-T	g	171	u	8	273			pmagpy-4.2.19	8.43e-09	4.55e-10	9.29e-11	1.77e-10
PI47-6a_LP-DIR-T19	PI47-6a_LP-DIR-T	PI47-6a	    3.1	002.6	 70.1 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:35:34	LT-T-Z:LP-DIR-T	g	172	u	8	273			pmagpy-4.2.19	6.82e-09	3.35e-10	1.49e-10	9.70e-11
PI47-6a_LP-DIR-T20	PI47-6a_LP-DIR-T	PI47-6a	    3.9	350.4	 48.9 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:36:47	LT-T-Z:LP-DIR-T	g	173	u	8	273			pmagpy-4.2.19	6.25e-09	2.29e-10	2.92e-10	2.24e-10
PI47-6a_LP-DIR-T21	PI47-6a_LP-DIR-T	PI47-6a	    4.5	084.8	 69.3 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:33:32	LT-T-Z:LP-DIR-T	g	174	u	8	273			pmagpy-4.2.19	5.26e-09	3.94e-10	1.30e-10	4.78e-11
PI47-6a_LP-DIR-T22	PI47-6a_LP-DIR-T	PI47-6a	    1.4	237.6	 56.1 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:24:54	LT-T-Z:LP-DIR-T	g	175	u	8	273			pmagpy-4.2.19	3.61e-09	8.72e-11	3.09e-11	1.47e-12
PI47-6a_LP-DIR-T23	PI47-6a_LP-DIR-T	PI47-6a	    1.9	234.8	 56.2 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 10:58:33	LT-T-Z:LP-DIR-T	g	176	u	8	273			pmagpy-4.2.19	3.70e-09	1.28e-10	3.51e-11	8.54e-11
PI47-6a_LP-DIR-T24	PI47-6a_LP-DIR-T	PI47-6a	    2.2	147.0	 62.7 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 16:57:20	LT-T-Z:LP-DIR-T	g	177	u	8	273			pmagpy-4.2.19	1.79e-09	6.05e-11	5.50e-11	1.63e-11
PI47-6a_LP-DIR-T25	PI47-6a_LP-DIR-T	PI47-6a	    6.3	338.9	 49.9 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:29:27	LT-T-Z:LP-DIR-T	g	178	u	8	273			pmagpy-4.2.19	1.57e-09	4.83e-11	1.28e-10	1.09e-10
PI47-6a_LP-DIR-T26	PI47-6a_LP-DIR-T	PI47-6a	    5.2	198.2	 69.7 	0	0	0.00	0.00	26	  850.0	This study	hargrave 2015-10-31 19:33:51	LT-T-Z:LP-DIR-T	g	179	u	8	273			pmagpy-4.2.19	1.10e-09	5.60e-11	8.57e-11	5.15e-11
PI47-6a_LP-DIR-T27	PI47-6a_LP-DIR-T	PI47-6a	    7.1	351.0	 49.2 	0	0	0.00	0.00	27	  852.0	This study	hargrave 2015-11-05 12:14:33	LT-T-Z:LP-DIR-T	g	180	u	8	273			pmagpy-4.2.19	1.29e-09	1.63e-11	1.46e-10	8.38e-11
PI47-7a_LP-DIR-T0	PI47-7a_LP-DIR-T	PI47-7a	    1.7	205.0	 24.1 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:29:29	LT-NO:LP-DIR-T	g	181	u	8	273			pmagpy-4.2.19	1.01e-07	1.67e-09	1.28e-09	2.14e-09
PI47-7a_LP-DIR-T1	PI47-7a_LP-DIR-T	PI47-7a	    2.6	204.2	 24.5 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:40:03	LT-T-Z:LP-DIR-T	g	182	u	8	273			pmagpy-4.2.19	1.01e-07	2.11e-09	3.93e-09	1.18e-09
PI47-7a_LP-DIR-T2	PI47-7a_LP-DIR-T	PI47-7a	    3.0	207.0	 24.5 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:22:43	LT-T-Z:LP-DIR-T	g	183	u	8	273			pmagpy-4.2.19	9.86e-08	2.96e-09	3.94e-09	1.79e-09
PI47-7a_LP-DIR-T3	PI47-7a_LP-DIR-T	PI47-7a	    3.6	205.4	 24.5 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:56:39	LT-T-Z:LP-DIR-T	g	184	u	8	273			pmagpy-4.2.19	9.43e-08	2.96e-09	4.89e-09	1.54e-09
PI47-7a_LP-DIR-T4	PI47-7a_LP-DIR-T	PI47-7a	    0.8	208.1	 24.1 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:50:26	LT-T-Z:LP-DIR-T	g	185	u	8	273			pmagpy-4.2.19	8.70e-08	6.09e-10	6.46e-10	1.12e-09
PI47-7a_LP-DIR-T5	PI47-7a_LP-DIR-T	PI47-7a	    2.2	211.2	 24.2 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:33:36	LT-T-Z:LP-DIR-T	g	186	u	8	273			pmagpy-4.2.19	7.87e-08	1.40e-09	2.33e-09	1.39e-09
PI47-7a_LP-DIR-T6	PI47-7a_LP-DIR-T	PI47-7a	    1.2	213.0	 23.5 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:57:40	LT-T-Z:LP-DIR-T	g	187	u	8	273			pmagpy-4.2.19	7.27e-08	8.29e-10	7.36e-10	1.15e-09
PI47-7a_LP-DIR-T7	PI47-7a_LP-DIR-T	PI47-7a	    1.3	214.7	 24.1 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:54:51	LT-T-Z:LP-DIR-T	g	188	u	8	273			pmagpy-4.2.19	6.99e-08	7.87e-10	4.64e-10	1.37e-09
PI47-7a_LP-DIR-T8	PI47-7a_LP-DIR-T	PI47-7a	    1.9	218.0	 24.2 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:46:28	LT-T-Z:LP-DIR-T	g	189	u	8	273			pmagpy-4.2.19	6.66e-08	1.33e-09	1.09e-09	1.36e-09
PI47-7a_LP-DIR-T9	PI47-7a_LP-DIR-T	PI47-7a	    1.1	215.5	 23.6 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 12:05:11	LT-T-Z:LP-DIR-T	g	190	u	8	273			pmagpy-4.2.19	6.43e-08	3.58e-10	3.91e-10	1.10e-09
PI47-7a_LP-DIR-T10	PI47-7a_LP-DIR-T	PI47-7a	    1.8	214.6	 23.7 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:57:20	LT-T-Z:LP-DIR-T	g	191	u	8	273			pmagpy-4.2.19	6.04e-08	1.14e-09	1.23e-09	9.55e-10
PI47-7a_LP-DIR-T11	PI47-7a_LP-DIR-T	PI47-7a	    1.4	214.5	 23.3 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:32:28	LT-T-Z:LP-DIR-T	g	192	u	8	273			pmagpy-4.2.19	5.52e-08	8.29e-10	7.66e-10	8.26e-10
PI47-7a_LP-DIR-T12	PI47-7a_LP-DIR-T	PI47-7a	    2.0	214.4	 23.1 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:07:32	LT-T-Z:LP-DIR-T	g	193	u	8	273			pmagpy-4.2.19	4.82e-08	1.20e-09	8.94e-10	8.59e-10
PI47-7a_LP-DIR-T13	PI47-7a_LP-DIR-T	PI47-7a	    1.4	218.1	 23.9 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:53:29	LT-T-Z:LP-DIR-T	g	194	u	8	273			pmagpy-4.2.19	4.00e-08	6.23e-10	2.43e-10	7.76e-10
PI47-7a_LP-DIR-T14	PI47-7a_LP-DIR-T	PI47-7a	    3.6	219.4	 24.3 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:28:33	LT-T-Z:LP-DIR-T	g	195	u	8	273			pmagpy-4.2.19	3.31e-08	1.05e-09	1.57e-09	8.72e-10
PI47-7a_LP-DIR-T15	PI47-7a_LP-DIR-T	PI47-7a	    2.7	220.0	 24.2 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:31:23	LT-T-Z:LP-DIR-T	g	196	u	8	273			pmagpy-4.2.19	2.86e-08	8.00e-10	9.98e-10	4.85e-10
PI47-7a_LP-DIR-T16	PI47-7a_LP-DIR-T	PI47-7a	    4.1	215.1	 23.2 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:19:08	LT-T-Z:LP-DIR-T	g	197	u	8	273			pmagpy-4.2.19	2.45e-08	9.34e-10	1.49e-09	3.86e-10
PI47-7a_LP-DIR-T17	PI47-7a_LP-DIR-T	PI47-7a	    3.6	216.8	 23.9 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 17:00:17	LT-T-Z:LP-DIR-T	g	198	u	8	273			pmagpy-4.2.19	2.10e-08	6.56e-10	1.11e-09	4.12e-10
PI47-7a_LP-DIR-T18	PI47-7a_LP-DIR-T	PI47-7a	    3.1	217.6	 23.5 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:45:35	LT-T-Z:LP-DIR-T	g	199	u	8	273			pmagpy-4.2.19	1.70e-08	4.98e-10	7.78e-10	2.56e-10
PI47-7a_LP-DIR-T19	PI47-7a_LP-DIR-T	PI47-7a	    1.4	209.5	 23.6 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:37:09	LT-T-Z:LP-DIR-T	g	200	u	8	273			pmagpy-4.2.19	1.28e-08	2.54e-10	2.11e-10	2.00e-10
PI47-7a_LP-DIR-T20	PI47-7a_LP-DIR-T	PI47-7a	    1.6	203.1	 25.6 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:38:19	LT-T-Z:LP-DIR-T	g	201	u	8	273			pmagpy-4.2.19	1.02e-08	2.04e-10	1.67e-10	1.82e-10
PI47-7a_LP-DIR-T21	PI47-7a_LP-DIR-T	PI47-7a	    4.1	171.3	 32.7 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:35:05	LT-T-Z:LP-DIR-T	g	202	u	8	273			pmagpy-4.2.19	5.20e-09	8.21e-11	3.78e-10	3.28e-11
PI47-7a_LP-DIR-T22	PI47-7a_LP-DIR-T	PI47-7a	    1.0	183.8	-06.2 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:26:33	LT-T-Z:LP-DIR-T	g	203	u	8	273			pmagpy-4.2.19	6.17e-09	1.24e-10	7.76e-11	5.09e-11
PI47-7a_LP-DIR-T23	PI47-7a_LP-DIR-T	PI47-7a	    3.1	186.1	-07.5 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 11:00:05	LT-T-Z:LP-DIR-T	g	204	u	8	273			pmagpy-4.2.19	5.87e-09	3.72e-10	2.36e-10	1.22e-10
PI47-7a_LP-DIR-T24	PI47-7a_LP-DIR-T	PI47-7a	    2.4	187.2	 25.3 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 16:58:53	LT-T-Z:LP-DIR-T	g	205	u	8	273			pmagpy-4.2.19	5.73e-09	1.28e-10	2.02e-10	1.67e-10
PI47-7a_LP-DIR-T25	PI47-7a_LP-DIR-T	PI47-7a	    5.8	181.8	 33.3 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:30:59	LT-T-Z:LP-DIR-T	g	206	u	8	273			pmagpy-4.2.19	3.04e-09	7.94e-11	2.98e-10	7.83e-11
PI47-7a_LP-DIR-T26	PI47-7a_LP-DIR-T	PI47-7a	    5.2	192.3	-12.6 	0	0	0.00	0.00	26	  850.0	This study	hargrave 2015-10-31 19:35:22	LT-T-Z:LP-DIR-T	g	207	u	8	273			pmagpy-4.2.19	2.93e-09	7.78e-11	2.47e-10	1.04e-10
PI47-7a_LP-DIR-T27	PI47-7a_LP-DIR-T	PI47-7a	   15.7	219.9	 39.2 	0	0	0.00	0.00	27	  852.0	This study	hargrave 2015-11-05 12:16:06	LT-T-Z:LP-DIR-T	g	208	u	8	273			pmagpy-4.2.19	1.20e-09	1.20e-10	2.86e-10	1.35e-10
PI47-7a_LP-DIR-T28	PI47-7a_LP-DIR-T	PI47-7a	    9.2	220.8	 36.6 	0	0	0.00	0.00	28	  852.0	This study	hargrave 2015-11-05 13:23:06	LT-T-Z:LP-DIR-T	g	209	u	8	273			pmagpy-4.2.19	1.14e-09	5.78e-11	1.71e-10	6.20e-11
PI47-8a_LP-DIR-T0	PI47-8a_LP-DIR-T	PI47-8a	    1.0	224.0	 58.5 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:31:04	LT-NO:LP-DIR-T	g	210	u	8	273			pmagpy-4.2.19	1.11e-07	1.68e-09	1.17e-09	8.79e-10
PI47-8a_LP-DIR-T1	PI47-8a_LP-DIR-T	PI47-8a	    1.1	223.7	 58.6 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:41:34	LT-T-Z:LP-DIR-T	g	211	u	8	273			pmagpy-4.2.19	1.10e-07	1.81e-09	1.07e-09	5.53e-10
PI47-8a_LP-DIR-T2	PI47-8a_LP-DIR-T	PI47-8a	    1.1	221.8	 58.9 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:24:26	LT-T-Z:LP-DIR-T	g	212	u	8	273			pmagpy-4.2.19	1.07e-07	1.75e-09	1.04e-09	4.12e-10
PI47-8a_LP-DIR-T3	PI47-8a_LP-DIR-T	PI47-8a	    0.9	222.7	 58.4 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:58:28	LT-T-Z:LP-DIR-T	g	213	u	8	273			pmagpy-4.2.19	1.02e-07	9.08e-10	1.27e-09	4.98e-10
PI47-8a_LP-DIR-T4	PI47-8a_LP-DIR-T	PI47-8a	    2.3	229.8	 56.5 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:52:02	LT-T-Z:LP-DIR-T	g	214	u	8	273			pmagpy-4.2.19	9.33e-08	3.57e-09	1.32e-09	4.75e-10
PI47-8a_LP-DIR-T5	PI47-8a_LP-DIR-T	PI47-8a	    2.6	233.8	 54.8 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:35:07	LT-T-Z:LP-DIR-T	g	215	u	8	273			pmagpy-4.2.19	8.56e-08	3.39e-09	1.81e-09	4.16e-10
PI47-8a_LP-DIR-T6	PI47-8a_LP-DIR-T	PI47-8a	    0.9	237.4	 53.4 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:59:27	LT-T-Z:LP-DIR-T	g	216	u	8	273			pmagpy-4.2.19	7.92e-08	1.21e-09	5.54e-10	4.06e-10
PI47-8a_LP-DIR-T7	PI47-8a_LP-DIR-T	PI47-8a	    1.8	238.7	 53.0 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:56:24	LT-T-Z:LP-DIR-T	g	217	u	8	273			pmagpy-4.2.19	7.60e-08	2.16e-09	9.38e-10	3.79e-10
PI47-8a_LP-DIR-T8	PI47-8a_LP-DIR-T	PI47-8a	    1.8	242.6	 52.3 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:48:03	LT-T-Z:LP-DIR-T	g	218	u	8	273			pmagpy-4.2.19	7.21e-08	2.14e-09	7.70e-10	5.84e-10
PI47-8a_LP-DIR-T9	PI47-8a_LP-DIR-T	PI47-8a	    2.3	241.5	 52.2 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 12:06:43	LT-T-Z:LP-DIR-T	g	219	u	8	273			pmagpy-4.2.19	6.90e-08	2.62e-09	9.67e-10	6.48e-10
PI47-8a_LP-DIR-T10	PI47-8a_LP-DIR-T	PI47-8a	    2.0	243.0	 51.8 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:58:52	LT-T-Z:LP-DIR-T	g	220	u	8	273			pmagpy-4.2.19	6.21e-08	2.17e-09	6.76e-10	5.02e-10
PI47-8a_LP-DIR-T11	PI47-8a_LP-DIR-T	PI47-8a	    2.4	245.7	 50.9 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:33:59	LT-T-Z:LP-DIR-T	g	221	u	8	273			pmagpy-4.2.19	5.39e-08	2.14e-09	8.03e-10	4.23e-10
PI47-8a_LP-DIR-T12	PI47-8a_LP-DIR-T	PI47-8a	    2.9	247.3	 51.1 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:09:04	LT-T-Z:LP-DIR-T	g	222	u	8	273			pmagpy-4.2.19	4.70e-08	2.22e-09	9.50e-10	3.53e-10
PI47-8a_LP-DIR-T13	PI47-8a_LP-DIR-T	PI47-8a	    2.8	246.7	 50.1 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:55:01	LT-T-Z:LP-DIR-T	g	223	u	8	273			pmagpy-4.2.19	4.13e-08	1.85e-09	8.16e-10	2.42e-10
PI47-8a_LP-DIR-T14	PI47-8a_LP-DIR-T	PI47-8a	    5.5	250.2	 50.2 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:30:09	LT-T-Z:LP-DIR-T	g	224	u	8	273			pmagpy-4.2.19	3.58e-08	3.19e-09	1.20e-09	3.10e-10
PI47-8a_LP-DIR-T15	PI47-8a_LP-DIR-T	PI47-8a	    3.0	253.3	 51.0 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:32:55	LT-T-Z:LP-DIR-T	g	225	u	8	273			pmagpy-4.2.19	3.07e-08	1.45e-09	6.49e-10	2.38e-10
PI47-8a_LP-DIR-T16	PI47-8a_LP-DIR-T	PI47-8a	    4.9	258.5	 52.8 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:20:40	LT-T-Z:LP-DIR-T	g	226	u	8	273			pmagpy-4.2.19	2.54e-08	2.13e-09	5.09e-10	1.38e-10
PI47-8a_LP-DIR-T17	PI47-8a_LP-DIR-T	PI47-8a	    5.5	260.5	 52.5 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 17:01:48	LT-T-Z:LP-DIR-T	g	227	u	8	273			pmagpy-4.2.19	2.13e-08	2.01e-09	3.94e-10	1.68e-10
PI47-8a_LP-DIR-T18	PI47-8a_LP-DIR-T	PI47-8a	    5.8	265.3	 52.1 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:47:06	LT-T-Z:LP-DIR-T	g	228	u	8	273			pmagpy-4.2.19	1.69e-08	1.70e-09	2.81e-10	1.85e-10
PI47-8a_LP-DIR-T19	PI47-8a_LP-DIR-T	PI47-8a	    4.5	278.9	 53.3 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:38:40	LT-T-Z:LP-DIR-T	g	229	u	8	273			pmagpy-4.2.19	1.34e-08	1.02e-09	1.48e-10	2.65e-10
PI47-8a_LP-DIR-T20	PI47-8a_LP-DIR-T	PI47-8a	    4.6	286.7	 59.9 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:39:51	LT-T-Z:LP-DIR-T	g	230	u	8	273			pmagpy-4.2.19	8.80e-09	6.56e-10	7.34e-11	2.90e-10
PI47-8a_LP-DIR-T21	PI47-8a_LP-DIR-T	PI47-8a	    3.5	291.1	 55.1 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:36:37	LT-T-Z:LP-DIR-T	g	231	u	8	273			pmagpy-4.2.19	6.21e-09	2.60e-10	1.12e-10	3.01e-10
PI47-8a_LP-DIR-T22	PI47-8a_LP-DIR-T	PI47-8a	    1.3	254.1	 49.8 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:30:28	LT-T-Z:LP-DIR-T	g	232	u	8	273			pmagpy-4.2.19	6.88e-09	1.31e-10	5.70e-11	8.16e-11
PI47-8a_LP-DIR-T23	PI47-8a_LP-DIR-T	PI47-8a	    3.7	257.4	 47.5 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 11:01:40	LT-T-Z:LP-DIR-T	g	233	u	8	273			pmagpy-4.2.19	6.89e-09	2.43e-10	3.10e-10	2.12e-10
PI47-8a_LP-DIR-T24	PI47-8a_LP-DIR-T	PI47-8a	    2.9	258.3	 36.6 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 17:00:24	LT-T-Z:LP-DIR-T	g	234	u	8	273			pmagpy-4.2.19	5.25e-09	9.55e-11	2.50e-10	1.29e-10
PI47-8a_LP-DIR-T25	PI47-8a_LP-DIR-T	PI47-8a	    5.3	314.3	 71.3 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:32:30	LT-T-Z:LP-DIR-T	g	235	u	8	273			pmagpy-4.2.19	2.12e-09	3.59e-11	1.62e-10	1.43e-10
PI47-8a_LP-DIR-T26	PI47-8a_LP-DIR-T	PI47-8a	    6.6	258.3	 71.3 	0	0	0.00	0.00	26	  850.0	This study	hargrave 2015-10-31 19:36:54	LT-T-Z:LP-DIR-T	g	236	u	8	273			pmagpy-4.2.19	2.14e-09	7.71e-11	2.24e-10	7.47e-11
PI47-8a_LP-DIR-T27	PI47-8a_LP-DIR-T	PI47-8a	    6.2	319.7	 54.1 	0	0	0.00	0.00	27	  852.0	This study	hargrave 2015-11-05 12:17:42	LT-T-Z:LP-DIR-T	g	237	u	8	273			pmagpy-4.2.19	1.89e-09	4.17e-11	1.74e-10	1.11e-10
PI47-9a_LP-DIR-T0	PI47-9a_LP-DIR-T	PI47-9a	    1.7	205.8	 48.5 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:32:38	LT-NO:LP-DIR-T	g	238	u	8	273			pmagpy-4.2.19	8.81e-08	7.43e-10	2.17e-09	1.24e-09
PI47-9a_LP-DIR-T1	PI47-9a_LP-DIR-T	PI47-9a	    1.4	205.5	 49.1 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:43:09	LT-T-Z:LP-DIR-T	g	239	u	8	273			pmagpy-4.2.19	8.74e-08	1.05e-09	1.53e-09	1.17e-09
PI47-9a_LP-DIR-T2	PI47-9a_LP-DIR-T	PI47-9a	    1.6	207.6	 49.0 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:26:07	LT-T-Z:LP-DIR-T	g	240	u	8	273			pmagpy-4.2.19	8.53e-08	7.32e-10	1.93e-09	1.10e-09
PI47-9a_LP-DIR-T3	PI47-9a_LP-DIR-T	PI47-9a	    1.9	209.2	 47.9 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 10:00:09	LT-T-Z:LP-DIR-T	g	241	u	8	273			pmagpy-4.2.19	8.18e-08	5.06e-10	2.50e-09	1.10e-09
PI47-9a_LP-DIR-T4	PI47-9a_LP-DIR-T	PI47-9a	    1.1	207.9	 45.9 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:53:38	LT-T-Z:LP-DIR-T	g	242	u	8	273			pmagpy-4.2.19	7.49e-08	4.81e-10	9.08e-10	1.01e-09
PI47-9a_LP-DIR-T5	PI47-9a_LP-DIR-T	PI47-9a	    1.4	211.6	 44.1 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:36:42	LT-T-Z:LP-DIR-T	g	243	u	8	273			pmagpy-4.2.19	7.01e-08	4.83e-10	1.18e-09	1.16e-09
PI47-9a_LP-DIR-T6	PI47-9a_LP-DIR-T	PI47-9a	    1.4	217.4	 42.8 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 14:01:11	LT-T-Z:LP-DIR-T	g	244	u	8	273			pmagpy-4.2.19	6.55e-08	9.45e-10	6.67e-10	1.04e-09
PI47-9a_LP-DIR-T7	PI47-9a_LP-DIR-T	PI47-9a	    1.5	215.0	 42.1 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:58:01	LT-T-Z:LP-DIR-T	g	245	u	8	273			pmagpy-4.2.19	6.33e-08	1.18e-09	7.38e-10	8.75e-10
PI47-9a_LP-DIR-T8	PI47-9a_LP-DIR-T	PI47-9a	    2.9	218.7	 41.4 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:49:38	LT-T-Z:LP-DIR-T	g	246	u	8	273			pmagpy-4.2.19	6.05e-08	1.63e-09	2.41e-09	1.01e-09
PI47-9a_LP-DIR-T9	PI47-9a_LP-DIR-T	PI47-9a	    1.3	215.7	 40.8 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 12:08:19	LT-T-Z:LP-DIR-T	g	247	u	8	273			pmagpy-4.2.19	5.88e-08	8.56e-10	4.20e-10	1.01e-09
PI47-9a_LP-DIR-T10	PI47-9a_LP-DIR-T	PI47-9a	    2.9	219.0	 39.8 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 19:00:28	LT-T-Z:LP-DIR-T	g	248	u	8	273			pmagpy-4.2.19	5.35e-08	1.21e-09	2.35e-09	8.16e-10
PI47-9a_LP-DIR-T11	PI47-9a_LP-DIR-T	PI47-9a	    1.2	219.0	 39.4 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:35:35	LT-T-Z:LP-DIR-T	g	249	u	8	273			pmagpy-4.2.19	4.88e-08	4.47e-10	6.37e-10	7.40e-10
PI47-9a_LP-DIR-T12	PI47-9a_LP-DIR-T	PI47-9a	    1.9	222.1	 38.5 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:10:40	LT-T-Z:LP-DIR-T	g	250	u	8	273			pmagpy-4.2.19	4.37e-08	4.54e-10	1.22e-09	7.50e-10
PI47-9a_LP-DIR-T13	PI47-9a_LP-DIR-T	PI47-9a	    1.3	218.4	 38.1 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:56:37	LT-T-Z:LP-DIR-T	g	251	u	8	273			pmagpy-4.2.19	3.93e-08	5.48e-10	2.25e-10	7.42e-10
PI47-9a_LP-DIR-T14	PI47-9a_LP-DIR-T	PI47-9a	    4.5	222.6	 37.1 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:31:49	LT-T-Z:LP-DIR-T	g	252	u	8	273			pmagpy-4.2.19	3.45e-08	1.40e-09	2.23e-09	8.18e-10
PI47-9a_LP-DIR-T15	PI47-9a_LP-DIR-T	PI47-9a	    4.3	222.8	 36.7 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:34:30	LT-T-Z:LP-DIR-T	g	253	u	8	273			pmagpy-4.2.19	3.03e-08	1.28e-09	1.81e-09	6.56e-10
