tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc
This study	562	0562x011p05	0562x	0562x011p054	0562x011p054 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.246	0.055	0.014	u	23.3	Recalculated from original measurements; supercedes published results.	l	20.7	0.97	0.525	1.232e-05	11.5	15	8	5e-05	6	15.7	0.961
This study	562	0562x012000	0562x	0562x0120001	0562x0120001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.334	0.038	0.013	u	23.9	Recalculated from original measurements; supercedes published results.	l	556.9	0.693	0.342	1.67e-05	14.2	13	7	5e-05	-1	16.7	0.9844
This study	562	0562x012114	0562x	0562x0121141	0562x0121141 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	423	K	-0.293	0.025	0.007	u	8.2	Recalculated from original measurements; supercedes published results.	l	25.8	0.879	0.676	1.172e-05	5.8	15	8	4e-05	4	32.1	0.9919
This study	562	0562x012114	0562x	0562x0121142	0562x0121142 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	773	373	K	-0.353	0.044	0.015	u	4.9	Recalculated from original measurements; supercedes published results.	l	8.5	0.984	0.756	1.411e-05	3.3	15	7	4e-05	4	20.6	0.9753
This study	562	0562x012114	0562x	0562x0121143	0562x0121143 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.373	0.02	0.008	u	2.7	Recalculated from original measurements; supercedes published results.	l	25.3	0.945	0.815	1.493e-05	3.7	16	8	4e-05	3	42.9	0.9942
This study	562	0562x013p3f	0562x	0562x013p3f1	0562x013p3f1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	398	K	-0.235	0.01	0.002	u	2	Recalculated from original measurements; supercedes published results.	l	90.4	0.948	0.728	1.177e-05	7.1	18	9	5e-05	-1	85.5	0.9984
This study	562	0562x013p3f	0562x	0562x013p3f2	0562x013p3f2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.37	0.022	0.008	u	3.5	Recalculated from original measurements; supercedes published results.	l	17.6	0.96	0.875	1.851e-05	3.8	17	9	5e-05	6	40.2	0.9928
This study	562	0562x013p3f	0562x	0562x013p3f3	0562x013p3f3 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	373	K	-0.366	0.026	0.01	u	4.2	Recalculated from original measurements; supercedes published results.	l	20.4	0.923	0.854	1.465e-05	4	16	9	4e-05	4	31.8	0.9902
This study	562	0562x021p05	0562x	0562x021p051	0562x021p051 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	473	K	-0.215	0.036	0.008	u	9.7	Recalculated from original measurements; supercedes published results.	l	4.9	0.656	0.279	1.077e-05	10.3	12	8	5e-05	-1	16.1	0.9872
This study	562	0562x021p3c	0562x	0562x021p3c1	0562x021p3c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.276	0.076	0.021	u	24.5	Recalculated from original measurements; supercedes published results.	l	18.7	1.053	0.584	1.105e-05	16.9	17	9	4e-05	4	12.3	0.9162
This study	562	0562x021p3c	0562x	0562x021p3c2	0562x021p3c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.212	0.168	0.036	u	39.7	Recalculated from original measurements; supercedes published results.	l	9.1	0.957	0.391	8.49e-06	39	17	9	4e-05	8	4.7	0.6213
This study	562	0562x021p3c	0562x	0562x021p3c3	0562x021p3c3 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	548	423	K	-0.278	0.038	0.011	u	14.7	Recalculated from original measurements; supercedes published results.	l	19.1	0.621	0.267	1.11e-05	5.3	5	4	4e-05	10	11.3	0.9956
This study	562	0562x022p06	0562x	0562x022p061	0562x022p061 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	398	K	-0.078	0.109	0.009	u	30.2	Recalculated from original measurements; supercedes published results.	l	190.4	0.86	0.216	3.889e-06	27.3	16	9	5e-05	-1	6.2	0.8395
This study	562	0562x023p4f	0562x	0562x023p4f1	0562x023p4f1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	523	K	-0.083	0.042	0.003	u	31.9	Recalculated from original measurements; supercedes published results.	l	1.3	0.572	0.234	4.137e-06	20.9	11	7	5e-05	-1	12	0.9843
This study	562	0562x023p4f	0562x	0562x023p4f2	0562x023p4f2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	773	273	K	-0.127	0.149	0.019	u	36.9	Recalculated from original measurements; supercedes published results.	l	1.8	1.087	0.074	6.339e-06	9.9	16	8	5e-05	2	6.2	0.7142
This study	562	0562x024p3c	0562x	0562x024p3c1	0562x024p3c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	398	K	-0.367	0.022	0.008	u	3.8	Recalculated from original measurements; supercedes published results.	l	180.3	0.845	0.575	1.835e-05	2.9	16	9	5e-05	-1	36	0.9933
This study	562	0562x031p06	0562x	0562x031p061	0562x031p061 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	398	K	-0.3	0.026	0.008	u	5.5	Recalculated from original measurements; supercedes published results.	l	201.9	0.902	0.705	1.498e-05	7.3	13	8	5e-05	-1	30.8	0.9924
This study	562	0562x032000	0562x	0562x0320001	0562x0320001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	398	K	-0.25	0.047	0.012	u	5.1	Recalculated from original measurements; supercedes published results.	l	297	0.87	0.654	1.25e-05	6	15	9	5e-05	-1	17.1	0.972
This study	562	0562x032003	0562x	0562x0320031	0562x0320031 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.372	0.046	0.017	u	4.8	Recalculated from original measurements; supercedes published results.	l	42.9	0.94	0.822	1.486e-05	4.2	16	8	4e-05	2	18.7	0.9703
This study	562	0562x032003	0562x	0562x0320032	0562x0320032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	773	648	K	-0.537	0.026	0.014	u	4.5	Recalculated from original measurements; supercedes published results.	l	20	0.601	0.479	2.147e-05	9.8	6	7	4e-05	9	17.9	0.9973
This study	562	0562x033113	0562x	0562x0331131	0562x0331131 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.316	0.022	0.007	u	10.5	Recalculated from original measurements; supercedes published results.	l	11.8	0.955	0.694	1.262e-05	15.9	16	8	4e-05	8	40.1	0.9935
This study	562	0562x033113	0562x	0562x0331132	0562x0331132 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	823	373	K	-0.343	0.023	0.008	u	9.2	Recalculated from original measurements; supercedes published results.	l	13.7	0.977	0.808	1.371e-05	8.7	17	8	4e-05	4	38.7	0.9918
This study	562	0562x033113	0562x	0562x0331133	0562x0331133 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	373	K	-0.357	0.012	0.004	u	3.5	Recalculated from original measurements; supercedes published results.	l	21.4	0.954	0.877	1.427e-05	5.3	16	8	4e-05	3	72.4	0.9979
This study	562	0562x043p4b	0562x	0562x043p4b2	0562x043p4b2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	823	373	K	-0.404	0.035	0.014	u	5.7	Recalculated from original measurements; supercedes published results.	l	27.5	0.899	0.806	2.02e-05	4.8	17	9	5e-05	4	23.2	0.9815
This study	562	0562x043p4b	0562x	0562x043p4b3	0562x043p4b3 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.28	0.042	0.012	u	10.2	Recalculated from original measurements; supercedes published results.	l	13.8	0.992	0.759	1.118e-05	8.9	17	9	4e-05	7	21.5	0.974
This study	562	0562x043p6a	0562x	0562x043p6a1	0562x043p6a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.383	0.035	0.013	u	4.6	Recalculated from original measurements; supercedes published results.	l	23.2	0.937	0.591	1.531e-05	6.5	17	9	4e-05	3	23.8	0.9822
This study	562	0562x044003	0562x	0562x0440031	0562x0440031 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.398	0.013	0.005	u	3.4	Recalculated from original measurements; supercedes published results.	l	15.7	0.963	0.886	1.59e-05	3.5	16	8	4e-05	3	67.6	0.9976
This study	562	0562x044003	0562x	0562x0440032	0562x0440032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	373	K	-0.269	0.049	0.013	u	6.7	Recalculated from original measurements; supercedes published results.	l	30.9	0.94	0.625	1.077e-05	6.4	16	8	4e-05	6	17.5	0.9668
This study	562	0562x044p1a	0562x	0562x044p1a2	0562x044p1a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	373	K	-0.192	0.083	0.016	u	37.6	Recalculated from original measurements; supercedes published results.	l	149.9	0.859	0.08	9.624e-06	10.6	16	9	5e-05	-1	9.1	0.9049
This study	563	0563x242107	0563x	0563x2421071	0563x2421071 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.282	0.029	0.008	u	3.8	Recalculated from original measurements; supercedes published results.	l	79.8	0.955	0.627	1.411e-05	7.7	18	9	5e-05	-1	29.2	0.9865
This study	563	0563x242107	0563x	0563x2421072	0563x2421072 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	573	K	-0.307	0.037	0.011	u	7.6	Recalculated from original measurements; supercedes published results.	l	32.6	0.574	0.371	1.535e-05	6.4	8	7	5e-05	-1	12.1	0.9916
This study	563	0563x242107	0563x	0563x2421073	0563x2421073 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	823	373	K	-0.358	0.072	0.026	u	4.1	Recalculated from original measurements; supercedes published results.	l	33	0.891	0.69	1.43e-05	7.2	17	9	4e-05	15	10.8	0.9228
This study	563	0563x242107	0563x	0563x2421074	0563x2421074 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	823	373	K	-0.251	0.059	0.015	u	5.4	Recalculated from original measurements; supercedes published results.	l	43.9	1.001	0.665	1.002e-05	9.1	17	9	4e-05	7	15.1	0.9479
This study	563	0563x243045	0563x	0563x2430451	0563x2430451 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.282	0.048	0.014	u	14.4	Recalculated from original measurements; supercedes published results.	l	29.7	0.848	0.459	1.412e-05	18.2	16	7	5e-05	-1	15.2	0.968
This study	564	0564x012117	0564x	0564x0121171	0564x0121171 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	498	K	-0.223	0.049	0.011	u	5	Recalculated from original measurements; supercedes published results.	l	7.8	0.548	0.211	1.116e-05	9.8	8	6	5e-05	-1	9.4	0.9854
This study	564	0564x012117	0564x	0564x0121173	0564x0121173 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	423	K	-0.301	0.02	0.006	u	4.8	Recalculated from original measurements; supercedes published results.	l	9.2	0.908	0.725	1.507e-05	5.2	14	6	5e-05	-1	41.3	0.9952
This study	564	0564x021042	0564x	0564x0210421	0564x0210421 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.282	0.031	0.009	u	6	Recalculated from original measurements; supercedes published results.	l	24.1	1.029	0.674	1.408e-05	8.6	18	8	5e-05	-1	30.1	0.9842
This study	564	0564x022092	0564x	0564x0220921	0564x0220921 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	723	373	K	-0.312	0.034	0.011	u	11.6	Recalculated from original measurements; supercedes published results.	l	11.7	1.002	0.764	1.249e-05	5.9	13	6	4e-05	4	26.5	0.9871
This study	564	0564x022092	0564x	0564x0220922	0564x0220922 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	823	373	K	-0.22	0.074	0.016	u	11.7	Recalculated from original measurements; supercedes published results.	l	13.8	1.037	0.564	8.796e-06	16.2	17	8	4e-05	6	12.6	0.9188
This study	564	0564x022092	0564x	0564x0220923	0564x0220923 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	423	K	-0.283	0.031	0.009	u	16.8	Recalculated from original measurements; supercedes published results.	l	7.8	0.938	0.669	1.133e-05	6.8	14	7	4e-05	4	27.6	0.9886
This study	564	0564x033063	0564x	0564x0330631	0564x0330631 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	473	K	-0.267	0.02	0.005	u	4.7	Recalculated from original measurements; supercedes published results.	l	12.4	0.79	0.495	1.333e-05	7	12	8	5e-05	-1	35.7	0.996
This study	564	0564x033063	0564x	0564x0330632	0564x0330632 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	423	K	-0.37	0.019	0.007	u	2.6	Recalculated from original measurements; supercedes published results.	l	6.9	0.881	0.14	1.848e-05	5.2	14	6	5e-05	-1	41.5	0.9955
This study	564	0564x041129	0564x	0564x0411292	0564x0411292 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.18	0.059	0.011	u	8.6	Recalculated from original measurements; supercedes published results.	l	10.8	1.074	0.742	9.012e-06	8.7	19	9	5e-05	-1	17.1	0.9426
This study	564	0564x042085	0564x	0564x0420851	0564x0420851 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.162	0.188	0.03	u	77.7	Recalculated from original measurements; supercedes published results.	l	9.3	1.097	0.338	6.467e-06	18	17	8	4e-05	7	4.7	0.5415
This study	564	0564x042085	0564x	0564x0420852	0564x0420852 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.179	0.118	0.021	u	40.9	Recalculated from original measurements; supercedes published results.	l	14.8	1.061	0.419	7.149e-06	14.8	17	8	4e-05	6	7.7	0.8005
This study	564	0564x042085	0564x	0564x0420853	0564x0420853 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	773	373	K	-0.343	0.047	0.016	u	14.2	Recalculated from original measurements; supercedes published results.	l	8.3	0.935	0.654	1.372e-05	6.5	15	7	4e-05	4	16.5	0.9709
This study	564	0564x043075	0564x	0564x0430751	0564x0430751 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.354	0.035	0.012	u	5.1	Recalculated from original measurements; supercedes published results.	l	15	0.98	0.822	1.771e-05	6	18	9	5e-05	-1	26	0.9803
This study	564	0564x043075	0564x	0564x0430753	0564x0430753 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	858	373	K	-0.265	0.057	0.015	u	3.7	Recalculated from original measurements; supercedes published results.	l	12.4	1.081	0.731	1.326e-05	9.3	19	7	5e-05	-1	17.1	0.9462
This study	564	0564x043075	0564x	0564x0430754	0564x0430754 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.256	0.047	0.012	u	23.4	Recalculated from original measurements; supercedes published results.	l	28.4	1.063	0.636	1.024e-05	18.3	17	9	4e-05	6	20.7	0.9672
This study	564	0564x043075	0564x	0564x0430755	0564x0430755 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	548	423	K	-0.341	0.029	0.01	u	9.5	Recalculated from original measurements; supercedes published results.	l	32.9	0.332	0.111	1.365e-05	9.4	5	4	4e-05	13	8.2	0.9974
This study	564	0564x043075	0564x	0564x0430756	0564x0430756 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	698	373	K	-0.405	0.032	0.013	u	12.6	Recalculated from original measurements; supercedes published results.	l	23.4	0.888	0.667	1.62e-05	5.2	13	7	4e-05	4	24.3	0.9888
This study	564	0564x043075	0564x	0564x0430758	0564x0430758 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	648	K	-0.519	0.032	0.016	u	2.4	Recalculated from original measurements; supercedes published results.	l	23	0.778	0.666	2.075e-05	3.3	8	8	4e-05	3	20.3	0.9939
This study	564	0564x043075	0564x	0564x0430759	0564x0430759 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	723	373	K	-0.294	0.046	0.013	u	10	Recalculated from original measurements; supercedes published results.	l	12.7	0.984	0.638	1.176e-05	5.4	13	6	4e-05	7	19.5	0.9774
This study	564	0564x053012	0564x	0564x0530121	0564x0530121 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	373	K	-0.231	0.063	0.015	u	11.7	Recalculated from original measurements; supercedes published results.	l	53.5	0.999	0.545	9.24e-06	9.8	16	8	4e-05	9	14.2	0.9453
This study	564	0564x053012	0564x	0564x0530122	0564x0530122 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	573	K	-0.275	0.028	0.008	u	15	Recalculated from original measurements; supercedes published results.	l	15.5	0.672	0.407	1.099e-05	19.9	9	7	4e-05	9	19.7	0.9946
This study	564	0564x054002	0564x	0564x0540021	0564x0540021 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.314	0.013	0.004	u	10.6	Recalculated from original measurements; supercedes published results.	l	15.6	0.954	0.767	1.255e-05	10.1	16	8	4e-05	4	68.3	0.9978
This study	564	0564x061142	0564x	0564x0611421	0564x0611421 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-2.009	0.126	0.252	u	7.2	Recalculated from original measurements; supercedes published results.	l	6.9	1.005	0.36	0.0001004	9.5	15	7	5e-05	-1	6.4	0.8055
This study	564	0564x061142	0564x	0564x0611424	0564x0611424 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	473	K	-0.325	0.019	0.006	u	7.8	Recalculated from original measurements; supercedes published results.	l	26.2	0.792	0.534	1.301e-05	7.9	14	8	4e-05	4	37.5	0.9956
This study	564	0564x061142	0564x	0564x0611425	0564x0611425 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.603	0.043	0.026	u	6.1	Recalculated from original measurements; supercedes published results.	l	29.6	1.071	0.751	2.413e-05	5.9	16	8	4e-05	5	22.9	0.9745
This study	564	0564x061142	0564x	0564x0611426	0564x0611426 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.312	0.087	0.027	u	26.7	Recalculated from original measurements; supercedes published results.	l	25.4	1.155	0.529	1.248e-05	16	16	8	4e-05	4	12.1	0.896
This study	564	0564x071076	0564x	0564x0710761	0564x0710761 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.225	0.037	0.008	u	12.9	Recalculated from original measurements; supercedes published results.	l	5.4	1.019	0.733	1.123e-05	8.6	18	8	5e-05	-1	25.9	0.9783
This study	564	0564x071076	0564x	0564x0710763	0564x0710763 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-0.223	0.014	0.003	u	9.5	Recalculated from original measurements; supercedes published results.	l	5.8	0.525	0.444	1.115e-05	8.1	11	5	5e-05	-1	33.4	0.9982
