tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_lat	average_lat_sigma	average_lon	average_lon_sigma	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	model_lat	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_n	vadm_sigma
2	0.2	Ma	5.512e-06	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b323p07	0483b	0483b323p071	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b323p07	V [A] DM of sample.	ND	ND	-1	1.178e+22	1	0
2	0.2	Ma	3.848e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483x211p06	0483x	0483x211p062	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483x211p06	V [A] DM of sample.	ND	ND	-1	8.225e+22	1	0
2	0.2	Ma	5.357e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483x212p08	0483x	0483x212p082	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483x212p08	V [A] DM of sample.	ND	ND	-1	1.145e+23	1	0
2	0.2	Ma	2.097e-05	2	8.712e-06	41.54	23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483x213p01	0483x	0483x213p011 : 0483x213p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483x213p01	V [A] DM of sample.	ND	ND	-1	4.483e+22	2	1.862e+22
2	0.2	Ma	3.356e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483x221p01	0483x	0483x221p011	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483x221p01	V [A] DM of sample.	ND	ND	-1	7.174e+22	1	0
2	0.2	Ma	4.802e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483x231p8a	0483x	0483x231p8a1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483x231p8a	V [A] DM of sample.	ND	ND	-1	1.026e+23	1	0
20.7	0.2	Ma	1.476e-05	1	0		12.5		269		ND	ND	i	This study : Tauxe & Yamazaki 2007	495	0495x471p05	0495x	0495x471p051	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	2.5	IE-SPEC	V[A]DM: Sample 0495x471p05	V [A] DM of sample.	ND	ND	-1	3.799e+22	1	0
20.7	0.2	Ma	1.872e-05	1	0		12.5		269		ND	ND	i	This study : Tauxe & Yamazaki 2007	495	0495x481p10	0495x	0495x481p101	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	2.5	IE-SPEC	V[A]DM: Sample 0495x481p10	V [A] DM of sample.	ND	ND	-1	4.818e+22	1	0
20.7	0.2	Ma	1.8e-05	1	0		12.5		269		ND	ND	i	This study : Tauxe & Yamazaki 2007	495	0495x482p06	0495x	0495x482p061	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	2.5	IE-SPEC	V[A]DM: Sample 0495x482p06	V [A] DM of sample.	ND	ND	-1	4.633e+22	1	0
20.7	0.2	Ma	1.62e-05	2	2.093e-06	12.92	12.5		269		ND	ND	i	This study : Tauxe & Yamazaki 2007	495	0495x483p03	0495x	0495x483p031 : 0495x483p032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	2.5	IE-SPEC	V[A]DM: Sample 0495x483p03	V [A] DM of sample.	ND	ND	-1	4.169e+22	2	5.387e+21
3.1	0.4	Ma	1.923e-05	1	0		2		274		ND	ND	i	This study : Tauxe & Yamazaki 2007	510	0510x111000	0510x	0510x1110002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	2	IE-SPEC	V[A]DM: Sample 0510x111000	V [A] DM of sample.	ND	ND	-1	4.954e+22	1	0
15.2	0.2	Ma	2.941e-05	2	9.758e-06	33.18	-26		349		ND	ND	i	This study : Tauxe & Yamazaki 2007	520	0520x311020	0520x	0520x3110201 : 0520x3110202	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0520x311020	V [A] DM of sample.	ND	ND	-1	5.453e+22	2	1.809e+22
35.7	1.3	Ma	1.571e-05	1	0		-27		355		ND	ND	i	This study : Tauxe & Yamazaki 2007	522	0522b051p01	0522b	0522b051p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0522b051p01	V [A] DM of sample.	ND	ND	-1	2.741e+22	1	0
72	1	Ma	6.943e-05	2	4.766e-06	6.864	-29		3		ND	ND	i	This study : Tauxe & Yamazaki 2007	525	0525a005p6b	0525a	0525a005p6b1 : 0525a005p6b4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0525a005p6b	V [A] DM of sample.	ND	ND	-1	1.211e+23	2	8.316e+21
72	1	Ma	6.113e-05	2	7.071e-08	0.1157	-29		3		ND	ND	i	This study : Tauxe & Yamazaki 2007	525	0525a592p3h	0525a	0525a592p3h2 : 0525a592p3h3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0525a592p3h	V [A] DM of sample.	ND	ND	-1	1.067e+23	2	1.234e+20
72	1	Ma	6.365e-05	2	5.607e-06	8.809	-29		3		ND	ND	i	This study : Tauxe & Yamazaki 2007	525	0525a594p1r	0525a	0525a594p1r1 : 0525a594p1r3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0525a594p1r	V [A] DM of sample.	ND	ND	-1	1.111e+23	2	9.784e+21
84	1	Ma	8.453e-06	2	3.29e-06	38.92	16		301		ND	ND	i	This study : Tauxe & Yamazaki 2007	543	0543a132p03	0543a	0543a132p031 : 0543a132p034	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0543a132p03	V [A] DM of sample.	ND	ND	-1	1.924e+22	2	7.487e+21
84	1	Ma	8.637e-06	2	1.994e-07	2.309	16		301		ND	ND	i	This study : Tauxe & Yamazaki 2007	543	0543a152p3a	0543a	0543a152p3a1 : 0543a152p3a4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0543a152p3a	V [A] DM of sample.	ND	ND	-1	1.965e+22	2	4.538e+20
30.7	0.2	Ma	1.294e-05	1	0		39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x031140	0556x	0556x0311401	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x031140	V [A] DM of sample.	ND	ND	-1	2.525e+22	1	0
30.7	0.2	Ma	1.152e-05	5	2.206e-06	19.15	39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x041091	0556x	0556x0410912 : 0556x0410912 : 0556x0410913 : 0556x0410914 : 0556x0410915	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x041091	V [A] DM of sample.	ND	ND	-1	2.248e+22	5	4.304e+21
30.7	0.2	Ma	2.157e-05	3	5.914e-07	2.741	39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x051116	0556x	0556x0511164 : 0556x0511165 : 0556x0511166	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x051116	V [A] DM of sample.	ND	ND	-1	4.209e+22	3	1.154e+21
30.7	0.2	Ma	1.257e-05	1	0		39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x052084	0556x	0556x0520841	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x052084	V [A] DM of sample.	ND	ND	-1	2.453e+22	1	0
30.7	0.2	Ma	2.868e-05	3	7.9e-07	2.755	39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x062055	0556x	0556x0620551 : 0556x0620552 : 0556x0620553	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x062055	V [A] DM of sample.	ND	ND	-1	5.596e+22	3	1.541e+21
30.7	0.2	Ma	8.031e-06	1	0		39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x073146	0556x	0556x0731462	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x073146	V [A] DM of sample.	ND	ND	-1	1.567e+22	1	0
30.7	0.2	Ma	2.188e-05	1	0		39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x083109	0556x	0556x0831093	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x083109	V [A] DM of sample.	ND	ND	-1	4.269e+22	1	0
30.7	0.2	Ma	2.21e-05	2	1.407e-06	6.369	39		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	556	0556x084002	0556x	0556x0840021 : 0556x0840022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	30	IE-SPEC	V[A]DM: Sample 0556x084002	V [A] DM of sample.	ND	ND	-1	4.312e+22	2	2.745e+21
32	1.1	Ma	1.048e-05	3	7.17e-07	6.843	35		319		ND	ND	i	This study : Tauxe & Yamazaki 2007	559	0559a073011	0559a	0559a0730111 : 0559a0730112 : 0559a0730113	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0559a073011	V [A] DM of sample.	ND	ND	-1	2.154e+22	3	1.474e+21
32	1.1	Ma	1.469e-05	1	0		35		319		ND	ND	i	This study : Tauxe & Yamazaki 2007	559	0559x021142	0559x	0559x0211421	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0559x021142	V [A] DM of sample.	ND	ND	-1	3.02e+22	1	0
32	1.1	Ma	7.126e-05	2	8.943e-05	125.5	35		319		ND	ND	i	This study : Tauxe & Yamazaki 2007	559	0559x031011	0559x	0559x0310111 : 0559x0310113	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0559x031011	V [A] DM of sample.	ND	ND	-1	1.465e+23	2	1.838e+23
17.4	0.2	Ma	1.152e-05	2	5.292e-06	45.95	33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x011p05	0562x	0562x011p051 : 0562x011p052	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x011p05	V [A] DM of sample.	ND	ND	-1	2.431e+22	2	1.117e+22
17.4	0.2	Ma	1.359e-05	3	1.668e-06	12.27	33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x012114	0562x	0562x0121141 : 0562x0121142 : 0562x0121143	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x012114	V [A] DM of sample.	ND	ND	-1	2.868e+22	3	3.52e+21
17.4	0.2	Ma	1.658e-05	2	2.729e-06	16.46	33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x013p3f	0562x	0562x013p3f2 : 0562x013p3f3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x013p3f	V [A] DM of sample.	ND	ND	-1	3.498e+22	2	5.758e+21
17.4	0.2	Ma	1.077e-05	1	0		33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x021p05	0562x	0562x021p051	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x021p05	V [A] DM of sample.	ND	ND	-1	2.273e+22	1	0
17.4	0.2	Ma	1.11e-05	1	0		33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x021p3c	0562x	0562x021p3c3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x021p3c	V [A] DM of sample.	ND	ND	-1	2.342e+22	1	0
17.4	0.2	Ma	2.147e-05	1	0		33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x032003	0562x	0562x0320032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x032003	V [A] DM of sample.	ND	ND	-1	4.53e+22	1	0
17.4	0.2	Ma	1.399e-05	2	3.96e-07	2.83	33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x033113	0562x	0562x0331132 : 0562x0331133	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x033113	V [A] DM of sample.	ND	ND	-1	2.952e+22	2	8.356e+20
17.4	0.2	Ma	1.569e-05	2	6.378e-06	40.65	33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x043p4b	0562x	0562x043p4b2 : 0562x043p4b3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x043p4b	V [A] DM of sample.	ND	ND	-1	3.311e+22	2	1.346e+22
17.4	0.2	Ma	1.531e-05	1	0		33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x043p6a	0562x	0562x043p6a1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x043p6a	V [A] DM of sample.	ND	ND	-1	3.231e+22	1	0
17.4	0.2	Ma	1.59e-05	1	0		33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x044003	0562x	0562x0440031	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	24	IE-SPEC	V[A]DM: Sample 0562x044003	V [A] DM of sample.	ND	ND	-1	3.355e+22	1	0
33.2	0.1	Ma	1.311e-05	2	2.765e-06	21.08	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x012117	0564x	0564x0121171 : 0564x0121173	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x012117	V [A] DM of sample.	ND	ND	-1	2.695e+22	2	5.684e+21
33.2	0.1	Ma	1.408e-05	1	0		34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x021042	0564x	0564x0210421	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x021042	V [A] DM of sample.	ND	ND	-1	2.894e+22	1	0
33.2	0.1	Ma	1.249e-05	1	0		34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x022092	0564x	0564x0220921	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x022092	V [A] DM of sample.	ND	ND	-1	2.568e+22	1	0
33.2	0.1	Ma	1.333e-05	1	0		34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x033063	0564x	0564x0330631	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x033063	V [A] DM of sample.	ND	ND	-1	2.74e+22	1	0
33.2	0.1	Ma	9.012e-06	1	0		34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x041129	0564x	0564x0411292	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x041129	V [A] DM of sample.	ND	ND	-1	1.853e+22	1	0
33.2	0.1	Ma	1.372e-05	1	0		34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x042085	0564x	0564x0420853	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x042085	V [A] DM of sample.	ND	ND	-1	2.82e+22	1	0
33.2	0.1	Ma	1.594e-05	5	3.57e-06	22.4	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x043075	0564x	0564x0430751 : 0564x0430753 : 0564x0430756 : 0564x0430758 : 0564x0430759	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x043075	V [A] DM of sample.	ND	ND	-1	3.277e+22	5	7.339e+21
33.2	0.1	Ma	1.255e-05	1	0		34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x054002	0564x	0564x0540021	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x054002	V [A] DM of sample.	ND	ND	-1	2.58e+22	1	0
33.2	0.1	Ma	1.857e-05	2	7.863e-06	42.34	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x061142	0564x	0564x0611424 : 0564x0611425	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x061142	V [A] DM of sample.	ND	ND	-1	3.817e+22	2	1.616e+22
33.2	0.1	Ma	1.119e-05	2	5.657e-08	0.5055	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x071076	0564x	0564x0710761 : 0564x0710763	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x071076	V [A] DM of sample.	ND	ND	-1	2.3e+22	2	1.163e+20
33.2	0.1	Ma	1.525e-05	2	1.131e-07	0.7419	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x081101	0564x	0564x0811011 : 0564x0811012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x081101	V [A] DM of sample.	ND	ND	-1	3.135e+22	2	2.325e+20
33.2	0.1	Ma	1.702e-05	2	2.277e-06	13.38	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x093p02	0564x	0564x093p021 : 0564x093p022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0564x093p02	V [A] DM of sample.	ND	ND	-1	3.499e+22	2	4.681e+21
32	2	Ma	6.561e-06	1	0		-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c021009	0706c	0706c0210093	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c021009	V [A] DM of sample.	ND	ND	-1	1.201e+22	1	0
32	2	Ma	8.236e-06	1	0		-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c021071	0706c	0706c0210713	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c021071	V [A] DM of sample.	ND	ND	-1	1.508e+22	1	0
32	2	Ma	5.63e-06	2	6.159e-07	10.94	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c021093	0706c	0706c0210933 : 0706c0210934	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c021093	V [A] DM of sample.	ND	ND	-1	1.031e+22	2	1.128e+21
32	2	Ma	1.087e-05	2	5.266e-06	48.46	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c022039	0706c	0706c0220392 : 0706c0220395	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c022039	V [A] DM of sample.	ND	ND	-1	1.99e+22	2	9.643e+21
32	2	Ma	6.38e-06	4	9.621e-07	15.08	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c022095	0706c	0706c0220952 : 0706c0220953 : 0706c0220954 : 0706c0220955	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c022095	V [A] DM of sample.	ND	ND	-1	1.168e+22	4	1.762e+21
32	2	Ma	3.917e-06	1	0		-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c052074	0706c	0706c0520741	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c052074	V [A] DM of sample.	ND	ND	-1	7.172e+21	1	0
32	2	Ma	5.41e-06	3	1.765e-06	32.63	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c052103	0706c	0706c0521031 : 0706c0521032 : 0706c0521033	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c052103	V [A] DM of sample.	ND	ND	-1	9.906e+21	3	3.232e+21
32	2	Ma	5.847e-06	2	1.88e-06	32.15	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c053044	0706c	0706c0530441 : 0706c0530442	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c053044	V [A] DM of sample.	ND	ND	-1	1.071e+22	2	3.442e+21
32	2	Ma	5.74e-06	2	1.476e-06	25.72	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c077010	0706c	0706c0770102 : 0706c0770103	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-35	IE-SPEC	V[A]DM: Sample 0706c077010	V [A] DM of sample.	ND	ND	-1	1.051e+22	2	2.703e+21
82	2	Ma	3.803e-05	1	0		5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a702003	0758a	0758a7020031	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a702003	V [A] DM of sample.	ND	ND	-1	5.854e+22	1	0
82	2	Ma	2.642e-05	2	1.676e-06	6.344	5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a702052	0758a	0758a7020522 : 0758a7020523	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a702052	V [A] DM of sample.	ND	ND	-1	4.067e+22	2	2.58e+21
82	2	Ma	6.171e-05	2	2.157e-05	34.95	5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a712037	0758a	0758a7120371 : 0758a7120372	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a712037	V [A] DM of sample.	ND	ND	-1	9.499e+22	2	3.32e+22
82	2	Ma	3.001e-05	2	6.512e-06	21.7	5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a713045	0758a	0758a7130451 : 0758a7130452	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a713045	V [A] DM of sample.	ND	ND	-1	4.619e+22	2	1.002e+22
82	2	Ma	2.688e-05	3	1.232e-05	45.83	5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a714054	0758a	0758a7140541 : 0758a7140542 : 0758a7140543	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a714054	V [A] DM of sample.	ND	ND	-1	4.137e+22	3	1.896e+22
82	2	Ma	3.208e-05	3	3.646e-06	11.37	5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a714093	0758a	0758a7140933 : 0758a7140934 : 0758a7140935	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a714093	V [A] DM of sample.	ND	ND	-1	4.938e+22	3	5.612e+21
82	2	Ma	2.136e-05	1	0		5		90		ND	ND	i	This study : Tauxe & Yamazaki 2007	758	0758a723117	0758a	0758a7231172	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-51	IE-SPEC	V[A]DM: Sample 0758a723117	V [A] DM of sample.	ND	ND	-1	3.288e+22	1	0
155.7	0.3	Ma	5.992e-06	2	2.303e-06	38.44	-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c631004	0765c	0765c6310042 : 0765c6310044	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c631004	V [A] DM of sample.	ND	ND	-1	1.046e+22	2	4.018e+21
155.7	0.3	Ma	3.971e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c631051	0765c	0765c6310514	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c631051	V [A] DM of sample.	ND	ND	-1	6.929e+21	1	0
