tab	pmag_sites
er_site_name	er_location_name	er_specimen_names	er_sample_names	er_analyst_mail_names	er_citation_names	magic_instrument_codes	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
mc37	McMurdo	mc37h:mc37c:mc37b:mc37a:mc37g:mc37f:mc37e:mc37d	mc37h:mc37c:mc37b:mc37a:mc37g:mc37f:mc37e:mc37d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4.47	0.02	Ma	0.00006039	4	0.000005261	8.713							
mc38	McMurdo	mc38h:mc38b:mc38c:mc38a:mc38f:mc38g:mc38e	mc38h:mc38b:mc38c:mc38a:mc38f:mc38g:mc38d:mc38e	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	296.5	Direction included in Pmag_Results.	-78	4	4	Ma					258.4	7	7	0	n	6.9768	0
mc39	McMurdo	mc39h:mc39a:mc39c:mc39b:mc39e:mc39d:mc39g:mc39f	mc39h:mc39a:mc39c:mc39b:mc39e:mc39d:mc39g:mc39f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						0.084	0.004	Ma	0.0000298	2	0.000005443	18.26							
mc40	McMurdo	mc40h:mc40e:mc40g:mc40f:mc40a:mc40c:mc40b	mc40h:mc40e:mc40d:mc40g:mc40f:mc40a:mc40c:mc40b	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00003936	1	0	0							
mc41	McMurdo	mc41h:mc41b:mc41d:mc41e:mc41c:mc41a:mc41f	mc41h:mc41b:mc41d:mc41e:mc41c:mc41a:mc41f:mc41g	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.3	A	270.9	Direction included in Pmag_Results.	-78.1	0.28	0.01	Ma					114.5	6	6	0	n	5.9563	0
mc43	McMurdo	mc43e:mc43f:mc43g:mc43a:mc43b:mc43c	mc43d:mc43e:mc43f:mc43g:mc43a:mc43b:mc43c:mc43h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.1	A	291.8	Direction included in Pmag_Results.	-87.8	4	4	Ma					177.1	6	5	1	n	5.9746	0
mc44	McMurdo	mc44f:mc44h:mc44a:mc44c:mc44e:mc44g:mc44b:mc44d	mc44f:mc44h:mc44a:mc44c:mc44e:mc44g:mc44b:mc44d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00002165	4	0.00000902	41.67							
mc48	McMurdo	mc48e:mc48d:mc48c:mc48b:mc48f:mc48h:mc48g:mc48a	mc48e:mc48d:mc48c:mc48b:mc48f:mc48h:mc48g:mc48a	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.8	A	77.0	Direction included in Pmag_Results.	-56.6	4	4	Ma					165.4	7	6	1	n	6.9668	0
mc49	McMurdo	mc49g:mc49d:mc49e:mc49a:mc49b:mc49c:mc49h	mc49f:mc49g:mc49d:mc49e:mc49a:mc49b:mc49c:mc49h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.7	A	157.0	Direction included in Pmag_Results.	75	1.14	0.01	Ma					140.2	6	6	0	r	5.9643	0
mc50	McMurdo	mc50d:mc50e:mc50f:mc50g:mc50a:mc50b:mc50c:mc50h	mc50d:mc50e:mc50f:mc50g:mc50a:mc50b:mc50c:mc50h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.9	0.05	Ma	0.00003366	3	0.000002303	6.841							
