tab	pmag_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_analyst_mail_names	er_citation_names	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
mc156g1	mc156g	mc156	McMurdo	Lisa Tauxe	This study	mc156g1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		145.3	l					68.7						2.3		11			0
mc156h1	mc156h	mc156	McMurdo	Lisa Tauxe	This study	mc156h1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.08	0.015	T					A	u		158.0	l					71.1						0.8		7			0
mc156i1	mc156i	mc156	McMurdo	Lisa Tauxe	This study	mc156i1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	623	273	K					A	u		236.7	p					-10.6						21.5		6			0
mc157a1	mc157a	mc157	McMurdo	Lisa Tauxe	This study	mc157a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	813	273	K					A	u		132.1	p					15.2						5.3		12			0
mc157a2	mc157a	mc157	McMurdo	Lisa Tauxe	This study	mc157a2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.01	T					A	u		263.4	l					71.9						1.2		11			0
mc157b1	mc157b	mc157	McMurdo	Lisa Tauxe	This study	mc157b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	273	K					A	u		145.3	p					13.4						7.7		13			0
mc157b2	mc157b	mc157	McMurdo	Lisa Tauxe	This study	mc157b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		267.6	l					73.9						1.9		11			0
mc157c2	mc157c	mc157	McMurdo	Lisa Tauxe	This study	mc157c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.809	0.096	0.078		u	2.9	178.3	l	22.2	0.857	0.735	1.6	31	0.000020226	3.3	12	5	0.000025		-1		7.9	0.9096	-1
mc157e2	mc157e	mc157	McMurdo	Lisa Tauxe	This study	mc157e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	473	K					A	u		307.8	l					72.1						3.4		11			0
mc157f1	mc157f	mc157	McMurdo	Lisa Tauxe	This study	mc157f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.01	T					A	u		235.7	l					57.7						1.2		11			0
mc157j1	mc157j	mc157	McMurdo	Lisa Tauxe	This study	mc157j1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		256.9	l					70.8						0.9		12			0
mc157k1	mc157k	mc157	McMurdo	Lisa Tauxe	This study	mc157k1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		265.9	l					69.3						0.8		13			0
mc158a1	mc158a	mc158	McMurdo	Lisa Tauxe	This study	mc158a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	673	K		-0.187	0.223	0.042		u	1.3	359.3	l	1.3	0.592	0.264	0.5	77.4	0.0000046788	9.6	7	5	0.000025		-1		1.8	0.7673	-1
mc158b1	mc158b	mc158	McMurdo	Lisa Tauxe	This study	mc158b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.181	0.086	0.015		u	8.9	317.3	l	7.3	0.769	0.391	1.1	57.5	0.0000045188	10.3	12	5	0.000025		-1		7.2	0.9279	-1
mc158b2	mc158b	mc158	McMurdo	Lisa Tauxe	This study	mc158b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		41.3	l					43.2						2.8		13			0
mc158c1	mc158c	mc158	McMurdo	Lisa Tauxe	This study	mc158c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.02	T					A	u		47.8	l					43.6						2.7		10			0
mc158d1	mc158d	mc158	McMurdo	Lisa Tauxe	This study	mc158d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		49.4	l					44.1						3.6		11			0
mc158f1	mc158f	mc158	McMurdo	Lisa Tauxe	This study	mc158f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		52.5	l					42.8						4.3		13			0
mc158h1	mc158h	mc158	McMurdo	Lisa Tauxe	This study	mc158h1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		48.3	l					41.7						2		11			0
mc15a	mc15a	mc15	McMurdo	Lisa Tauxe	This study	mc15a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	853	273	K		-0.61	0.023	0.014		c	1.6	174.4	l	22.1	0.902	0.87	2.5	70.8	0.000024686	2.6	14	7	0.00004		-1		35.8	0.9938	-1
mc15b	mc15b	mc15	McMurdo	Lisa Tauxe	This study	mc15b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	853	373	K		-0.703	0.024	0.017		c	0.9	182.7	l	5.3	0.861	0.859	6.2	63.9	0.000027087	1.4	13	6	0.00004		-1		31.7	0.9938	-1
mc15c	mc15c	mc15	McMurdo	Lisa Tauxe	This study	mc15c-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	823	373	K		-0.792	0.032	0.025		c	2	178.0	l	12.8	0.846	0.819	6.1	47.3	0.000030927	2.4	11	6	0.00004		-1		23.7	0.9909	-1
mc15c2	mc15c	mc15	McMurdo	Lisa Tauxe	This study	mc15c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	848	373	K		-0.755	0.031	0.023		c	1.4	176.8	l	17.3	0.89	0.875	4.8	48.8	0.000029088	2.4	12	5	0.00004		1		26.2	0.9907	-1
mc15d	mc15d	mc15	McMurdo	Lisa Tauxe	This study	mc15d-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	798	473	K					A	u		162.0	l					88.3						1.7		8			0
mc15e	mc15e	mc15	McMurdo	Lisa Tauxe	This study	mc15e-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	798	373	K					A	u		157.9	l					83.7						1.8		9			0
mc15f	mc15f	mc15	McMurdo	Lisa Tauxe	This study	mc15f-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		171.3	l					81.6						3.6		9			0
mc15g	mc15g	mc15	McMurdo	Lisa Tauxe	This study	mc15g-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		130.9	l					83.1						0.9		13			0
mc15h	mc15h	mc15	McMurdo	Lisa Tauxe	This study	mc15h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	863	373	K		-0.622	0.018	0.011		c	1	169.6	l	16.5	0.861	0.855	2	48	0.000026051	2.1	12	6	0.00004		-1		37.9	0.9967	-1
mc160a1	mc160a	mc160	McMurdo	Lisa Tauxe	This study	mc160a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	773	423	K		-0.836	0.069	0.058		u	12.9	194.6	l	5.2	0.403	0.366	2.2	25.9	0.000020888	6.8	8	5	0.000025		-1		3.9	0.9717	-1
mc160a2	mc160a	mc160	McMurdo	Lisa Tauxe	This study	mc160a2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		209.5	l					76.4						1.5		11			0
mc160b1	mc160b	mc160	McMurdo	Lisa Tauxe	This study	mc160b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.03	T					A	u		218.6	l					70.3						2.1		9			0
mc160c1	mc160c	mc160	McMurdo	Lisa Tauxe	This study	mc160c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		235.3	l					72.6						1.7		13			0
mc160e1	mc160e	mc160	McMurdo	Lisa Tauxe	This study	mc160e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	473	K		-0.886	0.122	0.108		u	3.9	194.2	l	31.9	0.984	0.829	2.1	45	0.000022147	5	11	5	0.000025		-1		5.9	0.8702	-1
mc160e2	mc160e	mc160	McMurdo	Lisa Tauxe	This study	mc160e2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.06	T					A	u		261.5	l					74.8						2.2		6			0
mc160f2	mc160f	mc160	McMurdo	Lisa Tauxe	This study	mc160f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.909	0.021	0.019		u	2.1	200.8	l	5.2	0.913	0.86	1.8	54.2	0.000022721	3.1	12	5	0.000025		-1		35.2	0.9955	-1
mc160h2	mc160h	mc160	McMurdo	Lisa Tauxe	This study	mc160h2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		35.0	p					10.6						4.7		12			0
mc160j1	mc160j	mc160	McMurdo	Lisa Tauxe	This study	mc160j1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.05	T					A	u		214.9	l					78						1.8		7			0
mc160j2	mc160j	mc160	McMurdo	Lisa Tauxe	This study	mc160j2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		47.6	p					11.3						4.1		10			0
mc161a1	mc161a	mc161	McMurdo	Lisa Tauxe	This study	mc161a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.04	T					A	u		171.2	l					53.3						0.6		8			0
mc161b1	mc161b	mc161	McMurdo	Lisa Tauxe	This study	mc161b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	843	423	K		-0.232	0.041	0.01		u	1.7	189.0	l	12.4	1.018	0.795	2.9	28.5	0.0000058015	3.9	15	7	0.000025		-1		21	0.9782	-1
mc161e1	mc161e	mc161	McMurdo	Lisa Tauxe	This study	mc161e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.02	T					A	u		177.7	l					54.6						2		10			0
mc161f1	mc161f	mc161	McMurdo	Lisa Tauxe	This study	mc161f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.03	T					A	u		177.6	l					54.9						3.2		9			0
mc161g1	mc161g	mc161	McMurdo	Lisa Tauxe	This study	mc161g1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	838	423	K		-0.164	0.043	0.007		u	9.1	161.0	l	4.9	0.909	0.392	2.2	29.6	0.0000040994	10.9	14	7	0.000025		-1		18	0.9783	-1
mc161k1	mc161k	mc161	McMurdo	Lisa Tauxe	This study	mc161k1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.03	T					A	u		175.9	l					59.4						2.2		9			0
mc162b1	mc162b	mc162	McMurdo	Lisa Tauxe	This study	mc162b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.292	0.096	0.028		u	1.1	230.8	l	21.5	0.943	0.517	2.3	61.5	0.0000072924	16.6	12	5	0.000025		-1		4.6	0.9092	-1
mc162b2	mc162b	mc162	McMurdo	Lisa Tauxe	This study	mc162b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		171.6	l					59.3						1		12			0
mc162c1	mc162c	mc162	McMurdo	Lisa Tauxe	This study	mc162c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.337	0.08	0.027		u	1.2	146.0	l	5.9	0.892	0.55	2.3	60.5	0.0000084226	11.7	12	5	0.000025		-1		7.1	0.9377	-1
mc162f1	mc162f	mc162	McMurdo	Lisa Tauxe	This study	mc162f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.04	T					A	u		164.8	l					63.2						3.1		7			0
mc162g1	mc162g	mc162	McMurdo	Lisa Tauxe	This study	mc162g1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		175.4	l					56.6						1.1		12			0
mc162i1	mc162i	mc162	McMurdo	Lisa Tauxe	This study	mc162i1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		179.9	l					54.5						2		11			0
mc162j1	mc162j	mc162	McMurdo	Lisa Tauxe	This study	mc162j1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.02	T					A	u		182.1	l					55.7						1.9		9			0
mc163a1	mc163a	mc163	McMurdo	Lisa Tauxe	This study	mc163a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		181.6	l					52.2						1.3		12			0
mc163b1	mc163b	mc163	McMurdo	Lisa Tauxe	This study	mc163b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		175.8	l					52.9						1.4		12			0
mc163c1	mc163c	mc163	McMurdo	Lisa Tauxe	This study	mc163c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		174.0	l					54.6						2.3		11			0
mc163d1	mc163d	mc163	McMurdo	Lisa Tauxe	This study	mc163d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	573	273	K					A	u		306.6	p					37.6						4.6		5			0
mc163e1	mc163e	mc163	McMurdo	Lisa Tauxe	This study	mc163e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		175.9	l					51.9						2.8		12			0
mc163f1	mc163f	mc163	McMurdo	Lisa Tauxe	This study	mc163f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		179.6	l					52.9						2.9		12			0
mc164a1	mc164a	mc164	McMurdo	Lisa Tauxe	This study	mc164a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-FM:DA-DIR-GEO	pmagpy-2.58	853	273	K	0.2				A	u		199.2	l					86.9								16			0
mc164a2	mc164a	mc164	McMurdo	Lisa Tauxe	This study	mc164a2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-FM:DA-DIR-GEO	pmagpy-2.58	0.15	0	T	0.2				A	u		201.8	l					85.8								11			0
mc164b1	mc164b	mc164	McMurdo	Lisa Tauxe	This study	mc164b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-FM:DA-DIR-GEO	pmagpy-2.58	853	273	K	0.3				A	u		188.0	l					88.3								16			0
mc164c1	mc164c	mc164	McMurdo	Lisa Tauxe	This study	mc164c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	923	853	K		-3.255	0.058	0.187		u	0.3	174.2	l	4.7	0.854	0.673	1.2	59.2	0.000081363	0.9	9	12	0.000025		-1		10.6	0.977	-1
mc164f1	mc164f	mc164	McMurdo	Lisa Tauxe	This study	mc164f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	918	853	K		-3.25	0.069	0.224		u	0.4	170.7	l	15.7	0.854	0.676	0.4	62.6	0.000081241	1.7	8	12	0.000025		-1		7.7	0.9717	-1
mc164g2	mc164g	mc164	McMurdo	Lisa Tauxe	This study	mc164g2-LP-DIR-T		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	923	273	K					A	u		221.8	l					85.2						1.6		6			0
mc164h1	mc164h	mc164	McMurdo	Lisa Tauxe	This study	mc164h1-LP-DIR-T		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	923	273	K					A	u		194.4	l					84.2						2.3		6			0
mc164i1	mc164i	mc164	McMurdo	Lisa Tauxe	This study	mc164i1-LP-DIR-T		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	923	273	K					A	u		149.0	l					86.3						1.8		6			0
mc164j1	mc164j	mc164	McMurdo	Lisa Tauxe	This study	mc164j1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	918	853	K		-3.251	0.054	0.177		u	0.3	186.6	l	6	0.839	0.667	0.5	67.3	0.000081264	2.2	8	12	0.000025		-1		10.7	0.9824	-1
mc164l2	mc164l	mc164	McMurdo	Lisa Tauxe	This study	mc164l2-LP-DIR-T		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	923	273	K					A	u		212.8	l					84.6						0.5		6			0
mc165a1	mc165a	mc165	McMurdo	Lisa Tauxe	This study	mc165a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		181.7	l					82						0.9		13			0
mc165b1	mc165b	mc165	McMurdo	Lisa Tauxe	This study	mc165b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-1.048	0.074	0.078		u	2.7	185.5	l	8.8	0.914	0.822	2.6	26.7	0.000026206	3.2	12	5	0.000025		-1		10.1	0.9458	-1
mc165b2	mc165b	mc165	McMurdo	Lisa Tauxe	This study	mc165b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		146.6	l					83.2						2.9		13			0
mc165c1	mc165c	mc165	McMurdo	Lisa Tauxe	This study	mc165c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.969	0.083	0.08		u	2.7	180.4	l	10.8	0.927	0.9	2.1	42.6	0.000024218	2.6	12	5	0.000025		-1		9.4	0.933	-1
mc165c2	mc165c	mc165	McMurdo	Lisa Tauxe	This study	mc165c2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		167.9	l					80						0.7		13			0
mc165g1	mc165g	mc165	McMurdo	Lisa Tauxe	This study	mc165g1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		100.3	l					71.6						1.1		13			0
mc165h2	mc165h	mc165	McMurdo	Lisa Tauxe	This study	mc165h2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	523	K		-1.055	0.091	0.096		u	2.8	179.3	l	8.9	0.931	0.806	1	34.3	0.000026373	3.4	10	5	0.000025		-1		8.4	0.9351	-1
mc165i2	mc165i	mc165	McMurdo	Lisa Tauxe	This study	mc165i2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-1.134	0.088	0.1		u	2.2	175.6	l	8.8	0.972	0.882	1.6	52.9	0.000028343	3	12	5	0.000025		-1		9.5	0.9235	-1
mc166a1	mc166a	mc166	McMurdo	Lisa Tauxe	This study	mc166a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		221.7	l					75.1						1.7		13			0
mc166b1	mc166b	mc166	McMurdo	Lisa Tauxe	This study	mc166b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-1.051	0.074	0.078		u	2.6	193.5	l	9.4	0.978	0.887	2.6	56.7	0.000026264	2.1	12	5	0.000025		-1		11.3	0.9457	-1
mc166b2	mc166b	mc166	McMurdo	Lisa Tauxe	This study	mc166b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		231.5	l					74.2						1.9		13			0
mc166c1	mc166c	mc166	McMurdo	Lisa Tauxe	This study	mc166c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	423	K		-0.879	0.071	0.063		u	3.8	191.1	l	13.3	0.952	0.817	0.5	16.9	0.000021977	3.6	12	5	0.000025		-1		11.6	0.95	-1
mc166c2	mc166c	mc166	McMurdo	Lisa Tauxe	This study	mc166c2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		224.4	l					70.7						2.2		13			0
mc166h2	mc166h	mc166	McMurdo	Lisa Tauxe	This study	mc166h2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	573	K		-1.217	0.13	0.158		u	5.2	203.1	l	9.3	0.966	0.767	1.6	35.5	0.000030433	4.3	8	5	0.000025		-1		6.1	0.9015	-1
mc166i1	mc166i	mc166	McMurdo	Lisa Tauxe	This study	mc166i1-LP-DIR-AF		LP-DIR-AF:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		235.5	l					74.9						1.4		13			0
mc166i2	mc166i	mc166	McMurdo	Lisa Tauxe	This study	mc166i2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	473	K		-1.51	0.11	0.165		u	4.1	188.0	l	5	0.969	0.768	0.7	30.1	0.000037746	3.8	11	5	0.000025		-1		7.5	0.8949	-1
mc167a1	mc167a	mc167	McMurdo	Lisa Tauxe	This study	mc167a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		85.8	l					72.8						0.7		12			0
mc167b1	mc167b	mc167	McMurdo	Lisa Tauxe	This study	mc167b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	813	423	K		-1.79	0.096	0.173		u	1.9	207.9	l	7.2	0.661	0.63	0.4	84.8	0.000044757	2.1	12	8	0.000025		-1		5.8	0.9091	-1
mc167d2	mc167d	mc167	McMurdo	Lisa Tauxe	This study	mc167d2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	843	423	K		-1.716	0.038	0.065		u	0.6	200.3	l	4.6	0.869	0.912	1.3	83.9	0.000042894	0.7	16	8	0.000025		-1		20.6	0.9798	-1
