tab	sites
analysts	citations	location	samples	site	specimens	magic_instrument_codes	method_codes	software_packages	criteria	dir_alpha95	geologic_classes	dir_comp_name	dir_dec	site_definition	description	height	dir_inc	age	age_sigma	age_unit	int_abs	int_n_samples	int_abs_sigma	int_abs_sigma_perc	dir_k	lat	lithologies	lon	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_types
	This study	McMurdo		mc218							Not Specified			s												-77.56218	Not Specified	166.97756							Not Specified
Lisa Tauxe	This study	McMurdo	mc219l:mc219j:mc219k:mc219h:mc219i:mc219f:mc219g:mc219d:mc219e:mc219b:mc219c:mc219a	mc219	mc219d2:mc219d1:mc219e1:mc219e2:mc219b1:mc219b2:mc219c1:mc219c2:mc219a1:mc219a2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.334	0.122	Ma	0.00003025	4	0.000003807	12.59											
	This study	McMurdo		mc219							Not Specified			s												-77.84783	Not Specified	166.67453							Not Specified
	This study			mc22							Not Specified			s												-78.20000	Not Specified	166.54							Not Specified
Lisa Tauxe	This study	McMurdo	mc220j:mc220h:mc220i:mc220f:mc220g:mc220d:mc220e:mc220b:mc220c:mc220a	mc220	mc220f2:mc220d1:mc220d2:mc220e1:mc220b1:mc220b2:mc220c2:mc220c1:mc220a1:mc220a2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.531	0.02	Ma	0.00005394	4	0.000001238	2.295											
	This study	McMurdo		mc220							Not Specified			s												-77.45702	Not Specified	166.91009							Not Specified
Lisa Tauxe	This study	McMurdo	mc221i:mc221h:mc221j:mc221e:mc221d:mc221g:mc221f:mc221a:mc221c:mc221b	mc221	mc221i2:mc221h2:mc221j2:mc221d2:mc221c1:mc221b1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2		A	275.7		Direction included in Pmag_Results.		-82.8	0.121	0.005	Ma					470.3				6	5	1	n	5.9904	0	
	This study	McMurdo		mc221							Not Specified			s												-77.51610	Not Specified	166.79804							Not Specified
Lisa Tauxe	This study	McMurdo	mc222h:mc222i:mc222j:mc222a:mc222b:mc222c:mc222d:mc222e:mc222f:mc222g	mc222	mc222h2:mc222j2:mc222a1:mc222b1:mc222c1:mc222e1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.1		A	190.4		Direction included in Pmag_Results.		-52.7	0.11	0.006	Ma					273.9				6	5	1	t	5.9836	0	
	This study	McMurdo		mc222							Not Specified			s												-77.53893	Not Specified	166.84845							Not Specified
Lisa Tauxe	This study	McMurdo	mc223g:mc223f:mc223e:mc223d:mc223c:mc223b:mc223a:mc223l:mc223k:mc223j:mc223i:mc223h	mc223	mc223g1:mc223f1:mc223e1:mc223d1:mc223c1:mc223c2:mc223b1:mc223a2:mc223a1:mc223l1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.378	0.014	Ma	0.00002153	4	0.000002646	12.29											
	This study	McMurdo		mc223							Not Specified			s												-77.65831	Not Specified	166.7863							Not Specified
Lisa Tauxe	This study	McMurdo	mc224b:mc224c:mc224a:mc224f:mc224g:mc224d:mc224e:mc224j:mc224k:mc224h:mc224i:mc224l:mc224m	mc224	mc224b1:mc224b2:mc224c2:mc224a1:mc224f2:mc224e2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.5		A	190.2		Direction included in Pmag_Results.		-61.6	0.033	0.006	Ma					927.2				5	5	0	t	4.9957	0	
	This study	McMurdo		mc224							Not Specified			s												-77.53046	Not Specified	166.8839							Not Specified
Lisa Tauxe	This study	McMurdo	mc225a:mc225c:mc225b:mc225e:mc225d:mc225g:mc225f:mc225i:mc225h:mc225k:mc225j	mc225	mc225a1:mc225a2:mc225c2:mc225c1:mc225b1:mc225d2:mc225d1:mc225g2:mc225f2:mc225i1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.057	0.005	Ma	0.00002855	4	0.000003136	10.99											
	This study	McMurdo		mc225							Not Specified			s												-77.58053	Not Specified	166.80156							Not Specified
Lisa Tauxe	This study	McMurdo	mc226h:mc226i:mc226j:mc226k:mc226d:mc226e:mc226f:mc226g:mc226a:mc226b:mc226c	mc226	mc226d2:mc226f2:mc226g2:mc226a1:mc226b2:mc226b1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									0.243	0.001	Ma	0.00002528	1	0	0											
	This study	McMurdo		mc226							Not Specified			s												-77.61355	Not Specified	166.76571							Not Specified
Lisa Tauxe	This study	McMurdo	mc227j:mc227i:mc227h:mc227c:mc227b:mc227a:mc227g:mc227f:mc227e:mc227d	mc227	mc227h2:mc227c2:mc227b2:mc227b1:mc227f2:mc227d2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.4		A	220.3		Direction included in Pmag_Results.		60.3	4.5	0.3	Ma					2807.9				5	5	0	r	4.9986	0	
	This study	McMurdo		mc227							Not Specified			s												-77.27064	Not Specified	166.73278							Not Specified
	This study	McMurdo		mc228							Not Specified			s												-77.26690	Not Specified	166.37738							Not Specified
Lisa Tauxe	This study	McMurdo	mc228f:mc228g:mc228d:mc228e:mc228b:mc228c:mc228a:mc228j:mc228h:mc228i	mc228	mc228g2:mc228g1:mc228d2:mc228d1:mc228e2:mc228e1:mc228b2:mc228b1:mc228a2:mc228a1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.9		A	217.5		Direction included in Pmag_Results.		63.9	2.5	2.5	Ma					276.7				10	10	0	r	9.9675	0	
Lisa Tauxe	This study	McMurdo	mc229e:mc229c:mc229b:mc229d:mc229g:mc229f:mc229a:mc229i:mc229h:mc229k:mc229j	mc229	mc229e2:mc229b2:mc229b1:mc229g1:mc229g2:mc229a2:mc229i1:mc229h2:mc229h1:mc229k1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.07	0.09	Ma	0.00003123	3	0.00000393	12.58											
	This study	McMurdo		mc229							Not Specified			s												-77.48281	Not Specified	167.15435							Not Specified
Lisa Tauxe	This study	McMurdo	mc26a:mc26c:mc26b:mc26e:mc26d:mc26g:mc26f:mc26h	mc26	mc26a:mc26c:mc26b:mc26e:mc26d:mc26g:mc26f:mc26h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00002768	2	0.000006865	24.81											
	This study	McMurdo		mc26							Not Specified			s												-78.21000	Not Specified	166.57							Not Specified
	This study	McMurdo		mc28							Not Specified			s												-78.29000	Not Specified	164.73							Not Specified
Lisa Tauxe	This study	McMurdo	mc28c:mc28b:mc28a:mc28g:mc28f:mc28e:mc28d:mc28h	mc28	mc28c:mc28b:mc28a:mc28g:mc28f:mc28e:mc28d:mc28h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									0.06	0.003	Ma	0.0000129	1	0	0											
Lisa Tauxe	This study	McMurdo	mc29h:mc29d:mc29e:mc29f:mc29g:mc29a:mc29b:mc29c	mc29	mc29h:mc29d:mc29e:mc29f:mc29g:mc29a:mc29b:mc29c		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3		A	12.0		Direction included in Pmag_Results.		-78.7	0.18	0.04	Ma					395.5				7	7	0	n	6.9848	0	
	This study	McMurdo		mc29							Not Specified			s												-78.31000	Not Specified	164.8							Not Specified
	This study	McMurdo		mc30							Not Specified			s												-78.34000	Not Specified	164.87							Not Specified
Lisa Tauxe	This study	McMurdo	mc30b:mc30c:mc30a:mc30f:mc30g:mc30d:mc30e:mc30h	mc30	mc30b:mc30c:mc30a:mc30f:mc30g:mc30d:mc30e:mc30h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4	4	Ma	0.00004263	4	0.0000003847	0.9023											
Lisa Tauxe	This study	McMurdo	mc31a:mc31c:mc31b:mc31e:mc31d:mc31g:mc31f:mc31h	mc31	mc31c:mc31b:mc31d:mc31f:mc31h		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2		A	298.7		Direction included in Pmag_Results.		-86.1	4	4	Ma					586.8				5	5	0	n	4.9932	0	
	This study	McMurdo		mc31							Not Specified			s												-78.34000	Not Specified	164.28							Not Specified
Lisa Tauxe	This study	McMurdo	mc32h:mc32a:mc32b:mc32c:mc32d:mc32e:mc32f:mc32g	mc32	mc32h:mc32a:mc32b:mc32c:mc32d:mc32e:mc32f:mc32g		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00003328	3	0.000005899	17.72											
	This study	McMurdo		mc32							Not Specified			s												-78.36000	Not Specified	164.3							Not Specified
Lisa Tauxe	This study	McMurdo	mc33h:mc33g:mc33f:mc33e:mc33d:mc33c:mc33b:mc33a	mc33	mc33h:mc33g:mc33f:mc33e:mc33d:mc33c:mc33b:mc33a		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3		A	9.6		Direction included in Pmag_Results.		-75.7	4	4	Ma					349.4				8	8	0	n	7.98	0	
	This study	McMurdo		mc33							Not Specified			s												-78.38000	Not Specified	164.34							Not Specified
Lisa Tauxe	This study	McMurdo	mc34h:mc34f:mc34g:mc34d:mc34e:mc34b:mc34c:mc34a	mc34	mc34h:mc34f:mc34d:mc34e:mc34b:mc34c:mc34a		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00002305	1	0	0											
	This study	McMurdo		mc34							Not Specified			s												-78.39000	Not Specified	164.27							Not Specified
	This study	McMurdo		mc35							Not Specified			s												-78.39000	Not Specified	164.23							Not Specified
Lisa Tauxe	This study	McMurdo	mc35h:mc35e:mc35d:mc35g:mc35f:mc35a:mc35c:mc35b	mc35	mc35h:mc35e:mc35d:mc35g:mc35f:mc35a:mc35c:mc35b		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.12	0.01	Ma	0.00002411	2	0.000002766	11.47											
Lisa Tauxe	This study	McMurdo	mc36d:mc36e:mc36f:mc36g:mc36a:mc36b:mc36c:mc36h	mc36	mc36d:mc36e:mc36f:mc36g:mc36a:mc36b:mc36c:mc36h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.12	0.01	Ma	0.00002569	4	0.000002957	11.51											
	This study	McMurdo		mc36							Not Specified			s												-78.39000	Not Specified	164.27							Not Specified
Lisa Tauxe	This study	McMurdo	mc37h:mc37c:mc37b:mc37a:mc37g:mc37f:mc37e:mc37d	mc37	mc37h:mc37c:mc37b:mc37a:mc37g:mc37f:mc37e:mc37d		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4.47	0.02	Ma	0.00006039	4	0.000005261	8.713											
	This study	McMurdo		mc37							Not Specified			s												-78.40000	Not Specified	164.27							Not Specified
	This study	McMurdo		mc38							Not Specified			s												-78.40000	Not Specified	164.21							Not Specified
Lisa Tauxe	This study	McMurdo	mc38h:mc38b:mc38c:mc38a:mc38f:mc38g:mc38d:mc38e	mc38	mc38h:mc38b:mc38c:mc38a:mc38f:mc38g:mc38e		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8		A	296.5		Direction included in Pmag_Results.		-78	4	4	Ma					258.4				7	7	0	n	6.9768	0	
Lisa Tauxe	This study	McMurdo	mc39h:mc39a:mc39c:mc39b:mc39e:mc39d:mc39g:mc39f	mc39	mc39h:mc39a:mc39c:mc39b:mc39e:mc39d:mc39g:mc39f		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									0.084	0.004	Ma	0.0000298	2	0.000005443	18.26											
	This study	McMurdo		mc39							Not Specified			s												-78.39000	Not Specified	164.21							Not Specified
Lisa Tauxe	This study	McMurdo	mc40h:mc40e:mc40d:mc40g:mc40f:mc40a:mc40c:mc40b	mc40	mc40h:mc40e:mc40g:mc40f:mc40a:mc40c:mc40b		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00003936	1	0	0											
	This study	McMurdo		mc40							Not Specified			s												-78.39000	Not Specified	164.2							Not Specified
Lisa Tauxe	This study	McMurdo	mc41h:mc41b:mc41d:mc41e:mc41c:mc41a:mc41f:mc41g	mc41	mc41h:mc41b:mc41d:mc41e:mc41c:mc41a:mc41f		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.3		A	270.9		Direction included in Pmag_Results.		-78.1	0.28	0.01	Ma					114.5				6	6	0	n	5.9563	0	
	This study	McMurdo		mc41							Not Specified			s												-78.39000	Not Specified	164.2							Not Specified
	This study	McMurdo		mc42							Not Specified			s												-78.37000	Not Specified	164.12							Not Specified
Lisa Tauxe	This study	McMurdo	mc43d:mc43e:mc43f:mc43g:mc43a:mc43b:mc43c:mc43h	mc43	mc43e:mc43f:mc43g:mc43a:mc43b:mc43c		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.1		A	291.8		Direction included in Pmag_Results.		-87.8	4	4	Ma					177.1				6	5	1	n	5.9746	0	
	This study	McMurdo		mc43							Not Specified			s												-78.37000	Not Specified	164.24							Not Specified
Lisa Tauxe	This study	McMurdo	mc44f:mc44h:mc44a:mc44c:mc44e:mc44g:mc44b:mc44d	mc44	mc44f:mc44h:mc44a:mc44c:mc44e:mc44g:mc44b:mc44d		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00002165	4	0.00000902	41.67											
	This study	McMurdo		mc44							Not Specified			s												-78.36000	Not Specified	164.26							Not Specified
	This study	McMurdo		mc48							Not Specified			s												-78.24000	Not Specified	163.36							Not Specified
Lisa Tauxe	This study	McMurdo	mc48e:mc48d:mc48c:mc48b:mc48f:mc48h:mc48g:mc48a	mc48	mc48e:mc48d:mc48c:mc48b:mc48f:mc48h:mc48g:mc48a		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.8		A	77.0		Direction included in Pmag_Results.		-56.6	4	4	Ma					165.4				7	6	1	n	6.9668	0	
	This study	McMurdo		mc49							Not Specified			s												-78.24000	Not Specified	163.36							Not Specified
Lisa Tauxe	This study	McMurdo	mc49f:mc49g:mc49d:mc49e:mc49a:mc49b:mc49c:mc49h	mc49	mc49g:mc49d:mc49e:mc49a:mc49b:mc49c:mc49h		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.7		A	157.0		Direction included in Pmag_Results.		75	1.14	0.01	Ma					140.2				6	6	0	r	5.9643	0	
	This study	McMurdo		mc50							Not Specified			s												-78.25000	Not Specified	163.22							Not Specified
Lisa Tauxe	This study	McMurdo	mc50d:mc50e:mc50f:mc50g:mc50a:mc50b:mc50c:mc50h	mc50	mc50d:mc50e:mc50f:mc50g:mc50a:mc50b:mc50c:mc50h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.9	0.05	Ma	0.00003366	3	0.000002303	6.841											
