tab 	pmag_specimens
specimen_description	specimen_correction	er_site_name	er_sample_name	specimen_dec	er_citation_names	specimen_inferred_age_unit	er_location_name	specimen_inferred_age	specimen_inc	er_specimen_name	magic_method_codes	specimen_int_rel
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-084	26-2-084	15.4	This study	Ma	DSDP Site 522	29.6716	-52.1	26-2-084	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002827
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-087	26-2-087	359.4	This study	Ma	DSDP Site 522	29.6757	-58.4	26-2-087	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00367
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-090	26-2-090	16.6	This study	Ma	DSDP Site 522	29.6798	-67	26-2-090	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00361
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-093	26-2-093	9.1	This study	Ma	DSDP Site 522	29.6839	-50.3	26-2-093	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.005532
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-096	26-2-096	341.4	This study	Ma	DSDP Site 522	29.688	-50.7	26-2-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00357
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-099	26-2-099	9.6	This study	Ma	DSDP Site 522	29.6921	-59.1	26-2-099	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004413
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-102	26-2-102	358.5	This study	Ma	DSDP Site 522	29.6962	-53.6	26-2-102	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002545
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-106	26-2-106	336.8	This study	Ma	DSDP Site 522	29.7017	-56.4	26-2-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002433
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-109	26-2-109	9.7	This study	Ma	DSDP Site 522	29.7058	-66.6	26-2-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003126
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-112	26-2-112	20.5	This study	Ma	DSDP Site 522	29.7099	-55.5	26-2-112	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002185
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-115	26-2-115	337.2	This study	Ma	DSDP Site 522	29.7126	-63.9	26-2-115	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001324
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-117	26-2-117	321.5	This study	Ma	DSDP Site 522	29.7167	-35	26-2-117	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009295
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-120	26-2-120	247.2	This study	Ma	DSDP Site 522	29.7195	-36.9	26-2-120	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-122	26-2-122	264.1	This study	Ma	DSDP Site 522	29.7236	-4.8	26-2-122	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008012
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-125	26-2-125	244.1	This study	Ma	DSDP Site 522	29.7277	16	26-2-125	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001397
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-128	26-2-128	260.6	This study	Ma	DSDP Site 522	29.7318	45.1	26-2-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001334
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-131	26-2-131	233.9	This study	Ma	DSDP Site 522	29.7359	46	26-2-131	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002618
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-136	26-2-136	236.5	This study	Ma	DSDP Site 522	29.7414	55	26-2-136	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002579
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-139	26-2-139	252.1	This study	Ma	DSDP Site 522	29.7455	26	26-2-139	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001519
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-142	26-2-142	245.7	This study	Ma	DSDP Site 522	29.7496	30.1	26-2-142	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001825
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-146	26-2-146	253.3	This study	Ma	DSDP Site 522	29.7564	36.7	26-2-146	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001626
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-2-149	26-2-149	253.4	This study	Ma	DSDP Site 522	29.7605	24.6	26-2-149	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002075
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-001	26-3-001	274.5	This study	Ma	DSDP Site 522	29.7619	49.8	26-3-001	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001379
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-004	26-3-004	250.7	This study	Ma	DSDP Site 522	29.7674	30.7	26-3-004	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001477
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-007	26-3-007	254	This study	Ma	DSDP Site 522	29.7715	44.7	26-3-007	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002059
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-011	26-3-011	243.7	This study	Ma	DSDP Site 522	29.7769	46.4	26-3-011	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001657
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-014	26-3-014	249.2	This study	Ma	DSDP Site 522	29.7811	46.5	26-3-014	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002441
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-017	26-3-017	249.5	This study	Ma	DSDP Site 522	29.7852	47.5	26-3-017	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002321
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-021	26-3-021	238.8	This study	Ma	DSDP Site 522	29.7893	41.2	26-3-021	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002756
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-024	26-3-024	237.6	This study	Ma	DSDP Site 522	29.7934	49.7	26-3-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002538
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-030	26-3-030	247.5	This study	Ma	DSDP Site 522	29.8029	57.4	26-3-030	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002088
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-033	26-3-033	266.1	This study	Ma	DSDP Site 522	29.8057	42.6	26-3-033	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001788
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-036	26-3-036	288.1	This study	Ma	DSDP Site 522	29.8098	28.8	26-3-036	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001453
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-039	26-3-039	334.4	This study	Ma	DSDP Site 522	29.8139	-13.9	26-3-039	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001314
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-043	26-3-043	7.6	This study	Ma	DSDP Site 522	29.8194	-38	26-3-043	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001465
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-046	26-3-046	355.1	This study	Ma	DSDP Site 522	29.8235	-34.8	26-3-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001352
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-049	26-3-049	26.8	This study	Ma	DSDP Site 522	29.8276	-48.8	26-3-049	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001617
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-052	26-3-052	4.8	This study	Ma	DSDP Site 522	29.8317	-21.9	26-3-052	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001372
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-055	26-3-055	19.7	This study	Ma	DSDP Site 522	29.8358	-37.7	26-3-055	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00148
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-057	26-3-057	17.6	This study	Ma	DSDP Site 522	29.8385	-55.8	26-3-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001989
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-060	26-3-060	325.6	This study	Ma	DSDP Site 522	29.844	-52.2	26-3-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001945
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-063	26-3-063	33.6	This study	Ma	DSDP Site 522	29.8481	-47.6	26-3-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002663
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-065	26-3-065	344.3	This study	Ma	DSDP Site 522	29.8508	-47.3	26-3-065	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002484
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-068	26-3-068	3.1	This study	Ma	DSDP Site 522	29.8549	-32.4	26-3-068	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00287
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-072	26-3-072	333.7	This study	Ma	DSDP Site 522	29.8591	-36.6	26-3-072	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001546
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-075	26-3-075	346.6	This study	Ma	DSDP Site 522	29.8632	-41.7	26-3-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001458
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-078	26-3-078	17.3	This study	Ma	DSDP Site 522	29.8673	-40.3	26-3-078	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001603
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-080	26-3-080	344	This study	Ma	DSDP Site 522	29.8714	-35.3	26-3-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001181
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-084	26-3-084	2.9	This study	Ma	DSDP Site 522	29.8755	-42.8	26-3-084	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00235
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-086	26-3-086	22.5	This study	Ma	DSDP Site 522	29.8796	-54	26-3-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002363
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-090	26-3-090	35.2	This study	Ma	DSDP Site 522	29.8837	-57.6	26-3-090	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001899
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-093	26-3-093	340.7	This study	Ma	DSDP Site 522	29.8878	-52.5	26-3-093	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001767
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-096	26-3-096	6.1	This study	Ma	DSDP Site 522	29.8919	-42.4	26-3-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001674
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-099	26-3-099	12	This study	Ma	DSDP Site 522	29.896	-65.1	26-3-099	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001444
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-101	26-3-101	355.3	This study	Ma	DSDP Site 522	29.9001	-51.3	26-3-101	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00215
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-105	26-3-105	359.1	This study	Ma	DSDP Site 522	29.9042	-42.4	26-3-105	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002448
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-108	26-3-108	330.9	This study	Ma	DSDP Site 522	29.9083	-75.6	26-3-108	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002582
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-110	26-3-110	359.2	This study	Ma	DSDP Site 522	29.9124	-70.4	26-3-110	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00227
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-114	26-3-114	356.7	This study	Ma	DSDP Site 522	29.9165	-63.2	26-3-114	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002495
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-117	26-3-117	355.2	This study	Ma	DSDP Site 522	29.9206	-48.5	26-3-117	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002398
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-120	26-3-120	350	This study	Ma	DSDP Site 522	29.9247	-36.3	26-3-120	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001701
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	26-3-122	26-3-122	357.5	This study	Ma	DSDP Site 522	29.9288	-45.8	26-3-122	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001745
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-023	27-1-023	34.8	This study	Ma	DSDP Site 522	29.9576	-51	27-1-023	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003703
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-027	27-1-027	32.8	This study	Ma	DSDP Site 522	29.9631	-46.5	27-1-027	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002034
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-030	27-1-030	14.9	This study	Ma	DSDP Site 522	29.9672	-35.8	27-1-030	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003102
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-033	27-1-033	16.6	This study	Ma	DSDP Site 522	29.9713	-36.5	27-1-033	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002922
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-036	27-1-036	6.4	This study	Ma	DSDP Site 522	29.9754	-47.4	27-1-036	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003325
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-039	27-1-039	29.9	This study	Ma	DSDP Site 522	29.9795	-59	27-1-039	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003223
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-041	27-1-041	3.6	This study	Ma	DSDP Site 522	29.9822	-28.8	27-1-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002628
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-046	27-1-046	0.1	This study	Ma	DSDP Site 522	29.9891	-41	27-1-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002996
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-050	27-1-050	351.6	This study	Ma	DSDP Site 522	29.9945	-43.6	27-1-050	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003105
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-053	27-1-053	358.5	This study	Ma	DSDP Site 522	29.9986	-36.6	27-1-053	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003664
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-056	27-1-056	343.4	This study	Ma	DSDP Site 522	30.0027	-44.1	27-1-056	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003583
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-059	27-1-059	334.6	This study	Ma	DSDP Site 522	30.0068	-49.9	27-1-059	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003505
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-062	27-1-062	8.3	This study	Ma	DSDP Site 522	30.0109	-24.6	27-1-062	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00329
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-065	27-1-065	353.6	This study	Ma	DSDP Site 522	30.0151	-41.1	27-1-065	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003541
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-068	27-1-068	20.9	This study	Ma	DSDP Site 522	30.0192	-9	27-1-068	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002281
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-073	27-1-073	356.8	This study	Ma	DSDP Site 522	30.026	-39.9	27-1-073	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003991
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-076	27-1-076	343.4	This study	Ma	DSDP Site 522	30.0301	-41.5	27-1-076	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002989
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-079	27-1-079	0.9	This study	Ma	DSDP Site 522	30.0342	-56	27-1-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002809
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-083	27-1-083	344	This study	Ma	DSDP Site 522	30.0397	-40.8	27-1-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002383
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-086	27-1-086	351.1	This study	Ma	DSDP Site 522	30.0438	-40	27-1-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002493
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-089	27-1-089	332.2	This study	Ma	DSDP Site 522	30.0479	-53.5	27-1-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002492
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-093	27-1-093	341.9	This study	Ma	DSDP Site 522	30.0534	-33.2	27-1-093	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002819
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-096	27-1-096	336	This study	Ma	DSDP Site 522	30.0575	-40	27-1-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002303
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-100	27-1-100	9	This study	Ma	DSDP Site 522	30.0629	-27.2	27-1-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001922
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-106	27-1-106	268.7	This study	Ma	DSDP Site 522	30.0712	5.4	27-1-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.007354
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-107	27-1-107	343.1	This study	Ma	DSDP Site 522	30.0725	11.9	27-1-107	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009212
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-109	27-1-109	301	This study	Ma	DSDP Site 522	30.0753	69.6	27-1-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008342
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-113	27-1-113	336.6	This study	Ma	DSDP Site 522	30.0807	34.5	27-1-113	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001045
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-117	27-1-117	355.9	This study	Ma	DSDP Site 522	30.0862	78.6	27-1-117	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001896
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-119	27-1-119	4.6	This study	Ma	DSDP Site 522	30.0889	13.5	27-1-119	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001626
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-123	27-1-123	356.8	This study	Ma	DSDP Site 522	30.0944	-15.9	27-1-123	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001702
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-127	27-1-127	79.1	This study	Ma	DSDP Site 522	30.0999	4.9	27-1-127	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001522
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-129	27-1-129	324.6	This study	Ma	DSDP Site 522	30.1026	62.8	27-1-129	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001881
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-133	27-1-133	352.5	This study	Ma	DSDP Site 522	30.1081	22.7	27-1-133	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001844
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-139	27-1-139	164	This study	Ma	DSDP Site 522	30.1163	87.5	27-1-139	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0019
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-141	27-1-141	21	This study	Ma	DSDP Site 522	30.1191	68.6	27-1-141	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002404
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-144	27-1-144	33.8	This study	Ma	DSDP Site 522	30.1232	60.2	27-1-144	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002097
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-1-149	27-1-149	71.7	This study	Ma	DSDP Site 522	30.13	71.1	27-1-149	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00152
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-006	27-2-006	242.1	This study	Ma	DSDP Site 522	30.1384	56.1	27-2-006	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002222
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-010	27-2-010	238.5	This study	Ma	DSDP Site 522	30.1433	64.2	27-2-010	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00199
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-012	27-2-012	166.8	This study	Ma	DSDP Site 522	30.1457	63.8	27-2-012	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00182
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-015	27-2-015	159.3	This study	Ma	DSDP Site 522	30.1493	74.3	27-2-015	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002039
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-021	27-2-021	179.4	This study	Ma	DSDP Site 522	30.1566	76.8	27-2-021	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002053
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-024	27-2-024	180.1	This study	Ma	DSDP Site 522	30.1602	74.6	27-2-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002453
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-027	27-2-027	209.9	This study	Ma	DSDP Site 522	30.1638	47.3	27-2-027	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002197
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-030	27-2-030	210.7	This study	Ma	DSDP Site 522	30.1674	52.4	27-2-030	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001352
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-033	27-2-033	205.2	This study	Ma	DSDP Site 522	30.171	61.2	27-2-033	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001428
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-036	27-2-036	234.8	This study	Ma	DSDP Site 522	30.1747	43.6	27-2-036	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001488
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-042	27-2-042	173.9	This study	Ma	DSDP Site 522	30.1819	82.5	27-2-042	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002462
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-045	27-2-045	219	This study	Ma	DSDP Site 522	30.1855	67.2	27-2-045	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002859
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-048	27-2-048	221	This study	Ma	DSDP Site 522	30.1891	58.2	27-2-048	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002404
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-051	27-2-051	264.1	This study	Ma	DSDP Site 522	30.1928	80.3	27-2-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002268
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-055	27-2-055	151.9	This study	Ma	DSDP Site 522	30.1976	71.8	27-2-055	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002945
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-059	27-2-059	227.1	This study	Ma	DSDP Site 522	30.2024	53.4	27-2-059	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002151
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-065	27-2-065	196.9	This study	Ma	DSDP Site 522	30.2097	76.9	27-2-065	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002835
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-068	27-2-068	204.8	This study	Ma	DSDP Site 522	30.2133	66.7	27-2-068	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001832
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-071	27-2-071	116.2	This study	Ma	DSDP Site 522	30.2169	81.5	27-2-071	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002641
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-074	27-2-074	180.5	This study	Ma	DSDP Site 522	30.2205	58.1	27-2-074	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001986
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-078	27-2-078	168.5	This study	Ma	DSDP Site 522	30.2253	69.9	27-2-078	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001785
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-082	27-2-082	154.9	This study	Ma	DSDP Site 522	30.2302	68	27-2-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002248
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-085	27-2-085	177.9	This study	Ma	DSDP Site 522	30.2338	66.5	27-2-085	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002226
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-089	27-2-089	230.4	This study	Ma	DSDP Site 522	30.2386	76.7	27-2-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002389
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-094	27-2-094	184.9	This study	Ma	DSDP Site 522	30.2447	68.9	27-2-094	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002205
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-100	27-2-100	116.2	This study	Ma	DSDP Site 522	30.2519	70.9	27-2-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003052
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	27-2-103	27-2-103	133.6	This study	Ma	DSDP Site 522	30.2555	72.4	27-2-103	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003398
