tab	measurements
analysts	citation	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
	This study	This study		    2.6	204.2	 24.5 	PI47-7a:LP-DIR-T	hargrave 2015-09-19 18:40:03	1.01e-07	2.11e-09	3.93e-09	1.18e-09	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  323.0	PI47-7a:LP-DIR-T2
	This study	This study		    3.0	207.0	 24.5 	PI47-7a:LP-DIR-T	hargrave 2015-09-21 22:22:43	9.86e-08	2.96e-09	3.94e-09	1.79e-09	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  348.0	PI47-7a:LP-DIR-T3
	This study	This study		    3.6	205.4	 24.5 	PI47-7a:LP-DIR-T	hargrave 2015-09-24 09:56:39	9.43e-08	2.96e-09	4.89e-09	1.54e-09	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  373.0	PI47-7a:LP-DIR-T4
	This study	This study		    0.8	208.1	 24.1 	PI47-7a:LP-DIR-T	hargrave 2015-09-24 15:50:26	8.70e-08	6.09e-10	6.46e-10	1.12e-09	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  398.0	PI47-7a:LP-DIR-T5
	This study	This study		    2.2	211.2	 24.2 	PI47-7a:LP-DIR-T	hargrave 2015-09-25 12:33:36	7.87e-08	1.40e-09	2.33e-09	1.39e-09	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  423.0	PI47-7a:LP-DIR-T6
	This study	This study		    1.2	213.0	 23.5 	PI47-7a:LP-DIR-T	hargrave 2015-09-26 13:57:40	7.27e-08	8.29e-10	7.36e-10	1.15e-09	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  448.0	PI47-7a:LP-DIR-T7
	This study	This study		    1.3	214.7	 24.1 	PI47-7a:LP-DIR-T	hargrave 2015-09-26 19:54:51	6.99e-08	7.87e-10	4.64e-10	1.37e-09	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  473.0	PI47-7a:LP-DIR-T8
	This study	This study		    1.9	218.0	 24.2 	PI47-7a:LP-DIR-T	hargrave 2015-09-28 19:46:28	6.66e-08	1.33e-09	1.09e-09	1.36e-09	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  498.0	PI47-7a:LP-DIR-T9
	This study	This study		    1.1	215.5	 23.6 	PI47-7a:LP-DIR-T	hargrave 2015-10-01 12:05:11	6.43e-08	3.58e-10	3.91e-10	1.10e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  523.0	PI47-7a:LP-DIR-T10
	This study	This study		    1.8	214.6	 23.7 	PI47-7a:LP-DIR-T	hargrave 2015-10-05 18:57:20	6.04e-08	1.14e-09	1.23e-09	9.55e-10	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  548.0	PI47-7a:LP-DIR-T11
	This study	This study		    1.4	214.5	 23.3 	PI47-7a:LP-DIR-T	hargrave 2015-10-06 02:32:28	5.52e-08	8.29e-10	7.66e-10	8.26e-10	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  573.0	PI47-7a:LP-DIR-T12
	This study	This study		    2.0	214.4	 23.1 	PI47-7a:LP-DIR-T	hargrave 2015-10-06 07:07:32	4.82e-08	1.20e-09	8.94e-10	8.59e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  598.0	PI47-7a:LP-DIR-T13
	This study	This study		    1.4	218.1	 23.9 	PI47-7a:LP-DIR-T	hargrave 2015-10-06 12:53:29	4.00e-08	6.23e-10	2.43e-10	7.76e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  623.0	PI47-7a:LP-DIR-T14
	This study	This study		    3.6	219.4	 24.3 	PI47-7a:LP-DIR-T	hargrave 2015-10-08 13:28:33	3.31e-08	1.05e-09	1.57e-09	8.72e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  648.0	PI47-7a:LP-DIR-T15
	This study	This study		    2.7	220.0	 24.2 	PI47-7a:LP-DIR-T	hargrave 2015-10-10 16:31:23	2.86e-08	8.00e-10	9.98e-10	4.85e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  673.0	PI47-7a:LP-DIR-T16
	This study	This study		    4.1	215.1	 23.2 	PI47-7a:LP-DIR-T	hargrave 2015-10-13 11:19:08	2.45e-08	9.34e-10	1.49e-09	3.86e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  698.0	PI47-7a:LP-DIR-T17
	This study	This study		    3.6	216.8	 23.9 	PI47-7a:LP-DIR-T	hargrave 2015-10-13 17:00:17	2.10e-08	6.56e-10	1.11e-09	4.12e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  723.0	PI47-7a:LP-DIR-T18
	This study	This study		    3.1	217.6	 23.5 	PI47-7a:LP-DIR-T	hargrave 2015-10-16 18:45:35	1.70e-08	4.98e-10	7.78e-10	2.56e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  748.0	PI47-7a:LP-DIR-T19
	This study	This study		    1.4	209.5	 23.6 	PI47-7a:LP-DIR-T	hargrave 2015-10-19 18:37:09	1.28e-08	2.54e-10	2.11e-10	2.00e-10	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  773.0	PI47-7a:LP-DIR-T20
	This study	This study		    1.6	203.1	 25.6 	PI47-7a:LP-DIR-T	hargrave 2015-10-20 13:38:19	1.02e-08	2.04e-10	1.67e-10	1.82e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  798.0	PI47-7a:LP-DIR-T21
	This study	This study		    4.1	171.3	 32.7 	PI47-7a:LP-DIR-T	hargrave 2015-10-26 14:35:05	5.20e-09	8.21e-11	3.78e-10	3.28e-11	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  823.0	PI47-7a:LP-DIR-T22
	This study	This study	average of multiple measurements	    1.9	  184.9	   -6.8	PI47-7a:LP-DIR-T	hargrave 2015-10-29 11:00:05	6.018e-09	3.72e-10	2.36e-10	1.22e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  833.0	PI47-7a:LP-DIR-T23
	This study	This study		    2.4	187.2	 25.3 	PI47-7a:LP-DIR-T	hargrave 2015-10-29 16:58:53	5.73e-09	1.28e-10	2.02e-10	1.67e-10	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  843.0	PI47-7a:LP-DIR-T24
	This study	This study		    5.8	181.8	 33.3 	PI47-7a:LP-DIR-T	hargrave 2015-10-31 12:30:59	3.04e-09	7.94e-11	2.98e-10	7.83e-11	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  848.0	PI47-7a:LP-DIR-T25
	This study	This study		    5.2	192.3	-12.6 	PI47-7a:LP-DIR-T	hargrave 2015-10-31 19:35:22	2.93e-09	7.78e-11	2.47e-10	1.04e-10	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  850.0	PI47-7a:LP-DIR-T26
	This study	This study	average of multiple measurements	    1.9	  220.3	   37.9	PI47-7a:LP-DIR-T	hargrave 2015-11-05 13:23:06	1.170e-09	5.78e-11	1.71e-10	6.20e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	  852.0	PI47-7a:LP-DIR-T27
	This study	This study		    1.0	224.0	 58.5 	PI47-8a:LP-DIR-T	hargrave 2015-09-16 18:31:04	1.11e-07	1.68e-09	1.17e-09	8.79e-10	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	273	PI47-8a:LP-DIR-T1
	This study	This study		    1.1	223.7	 58.6 	PI47-8a:LP-DIR-T	hargrave 2015-09-19 18:41:34	1.10e-07	1.81e-09	1.07e-09	5.53e-10	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  323.0	PI47-8a:LP-DIR-T2
	This study	This study		    1.1	221.8	 58.9 	PI47-8a:LP-DIR-T	hargrave 2015-09-21 22:24:26	1.07e-07	1.75e-09	1.04e-09	4.12e-10	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  348.0	PI47-8a:LP-DIR-T3
	This study	This study		    0.9	222.7	 58.4 	PI47-8a:LP-DIR-T	hargrave 2015-09-24 09:58:28	1.02e-07	9.08e-10	1.27e-09	4.98e-10	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  373.0	PI47-8a:LP-DIR-T4
	This study	This study		    2.3	229.8	 56.5 	PI47-8a:LP-DIR-T	hargrave 2015-09-24 15:52:02	9.33e-08	3.57e-09	1.32e-09	4.75e-10	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  398.0	PI47-8a:LP-DIR-T5
	This study	This study		    2.6	233.8	 54.8 	PI47-8a:LP-DIR-T	hargrave 2015-09-25 12:35:07	8.56e-08	3.39e-09	1.81e-09	4.16e-10	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  423.0	PI47-8a:LP-DIR-T6
	This study	This study		    0.9	237.4	 53.4 	PI47-8a:LP-DIR-T	hargrave 2015-09-26 13:59:27	7.92e-08	1.21e-09	5.54e-10	4.06e-10	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  448.0	PI47-8a:LP-DIR-T7
	This study	This study		    1.8	238.7	 53.0 	PI47-8a:LP-DIR-T	hargrave 2015-09-26 19:56:24	7.60e-08	2.16e-09	9.38e-10	3.79e-10	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  473.0	PI47-8a:LP-DIR-T8
	This study	This study		    1.8	242.6	 52.3 	PI47-8a:LP-DIR-T	hargrave 2015-09-28 19:48:03	7.21e-08	2.14e-09	7.70e-10	5.84e-10	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  498.0	PI47-8a:LP-DIR-T9
	This study	This study		    2.3	241.5	 52.2 	PI47-8a:LP-DIR-T	hargrave 2015-10-01 12:06:43	6.90e-08	2.62e-09	9.67e-10	6.48e-10	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  523.0	PI47-8a:LP-DIR-T10
	This study	This study		    2.0	243.0	 51.8 	PI47-8a:LP-DIR-T	hargrave 2015-10-05 18:58:52	6.21e-08	2.17e-09	6.76e-10	5.02e-10	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  548.0	PI47-8a:LP-DIR-T11
	This study	This study		    2.4	245.7	 50.9 	PI47-8a:LP-DIR-T	hargrave 2015-10-06 02:33:59	5.39e-08	2.14e-09	8.03e-10	4.23e-10	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  573.0	PI47-8a:LP-DIR-T12
	This study	This study		    2.9	247.3	 51.1 	PI47-8a:LP-DIR-T	hargrave 2015-10-06 07:09:04	4.70e-08	2.22e-09	9.50e-10	3.53e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  598.0	PI47-8a:LP-DIR-T13
	This study	This study		    2.8	246.7	 50.1 	PI47-8a:LP-DIR-T	hargrave 2015-10-06 12:55:01	4.13e-08	1.85e-09	8.16e-10	2.42e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  623.0	PI47-8a:LP-DIR-T14
	This study	This study		    5.5	250.2	 50.2 	PI47-8a:LP-DIR-T	hargrave 2015-10-08 13:30:09	3.58e-08	3.19e-09	1.20e-09	3.10e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  648.0	PI47-8a:LP-DIR-T15
	This study	This study		    3.0	253.3	 51.0 	PI47-8a:LP-DIR-T	hargrave 2015-10-10 16:32:55	3.07e-08	1.45e-09	6.49e-10	2.38e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  673.0	PI47-8a:LP-DIR-T16
	This study	This study		    4.9	258.5	 52.8 	PI47-8a:LP-DIR-T	hargrave 2015-10-13 11:20:40	2.54e-08	2.13e-09	5.09e-10	1.38e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  698.0	PI47-8a:LP-DIR-T17
	This study	This study		    5.5	260.5	 52.5 	PI47-8a:LP-DIR-T	hargrave 2015-10-13 17:01:48	2.13e-08	2.01e-09	3.94e-10	1.68e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  723.0	PI47-8a:LP-DIR-T18
	This study	This study		    5.8	265.3	 52.1 	PI47-8a:LP-DIR-T	hargrave 2015-10-16 18:47:06	1.69e-08	1.70e-09	2.81e-10	1.85e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  748.0	PI47-8a:LP-DIR-T19
	This study	This study		    4.5	278.9	 53.3 	PI47-8a:LP-DIR-T	hargrave 2015-10-19 18:38:40	1.34e-08	1.02e-09	1.48e-10	2.65e-10	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  773.0	PI47-8a:LP-DIR-T20
	This study	This study		    4.6	286.7	 59.9 	PI47-8a:LP-DIR-T	hargrave 2015-10-20 13:39:51	8.80e-09	6.56e-10	7.34e-11	2.90e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  798.0	PI47-8a:LP-DIR-T21
	This study	This study		    3.5	291.1	 55.1 	PI47-8a:LP-DIR-T	hargrave 2015-10-26 14:36:37	6.21e-09	2.60e-10	1.12e-10	3.01e-10	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  823.0	PI47-8a:LP-DIR-T22
	This study	This study	average of multiple measurements	    2.2	  255.8	   48.7	PI47-8a:LP-DIR-T	hargrave 2015-10-29 11:01:40	6.882e-09	2.43e-10	3.10e-10	2.12e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  833.0	PI47-8a:LP-DIR-T23
	This study	This study		    2.9	258.3	 36.6 	PI47-8a:LP-DIR-T	hargrave 2015-10-29 17:00:24	5.25e-09	9.55e-11	2.50e-10	1.29e-10	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  843.0	PI47-8a:LP-DIR-T24
	This study	This study		    5.3	314.3	 71.3 	PI47-8a:LP-DIR-T	hargrave 2015-10-31 12:32:30	2.12e-09	3.59e-11	1.62e-10	1.43e-10	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  848.0	PI47-8a:LP-DIR-T25
	This study	This study		    6.6	258.3	 71.3 	PI47-8a:LP-DIR-T	hargrave 2015-10-31 19:36:54	2.14e-09	7.71e-11	2.24e-10	7.47e-11	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  850.0	PI47-8a:LP-DIR-T26
	This study	This study		    6.2	319.7	 54.1 	PI47-8a:LP-DIR-T	hargrave 2015-11-05 12:17:42	1.89e-09	4.17e-11	1.74e-10	1.11e-10	8	273	LT-T-Z:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-8a	u	0	0	0.00	0.00	  852.0	PI47-8a:LP-DIR-T27
	This study	This study		    1.7	205.8	 48.5 	PI47-9a:LP-DIR-T	hargrave 2015-09-16 18:32:38	8.81e-08	7.43e-10	2.17e-09	1.24e-09	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	273	PI47-9a:LP-DIR-T1
	This study	This study		    1.4	205.5	 49.1 	PI47-9a:LP-DIR-T	hargrave 2015-09-19 18:43:09	8.74e-08	1.05e-09	1.53e-09	1.17e-09	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  323.0	PI47-9a:LP-DIR-T2
	This study	This study		    1.6	207.6	 49.0 	PI47-9a:LP-DIR-T	hargrave 2015-09-21 22:26:07	8.53e-08	7.32e-10	1.93e-09	1.10e-09	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  348.0	PI47-9a:LP-DIR-T3
	This study	This study		    1.9	209.2	 47.9 	PI47-9a:LP-DIR-T	hargrave 2015-09-24 10:00:09	8.18e-08	5.06e-10	2.50e-09	1.10e-09	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  373.0	PI47-9a:LP-DIR-T4
	This study	This study		    1.1	207.9	 45.9 	PI47-9a:LP-DIR-T	hargrave 2015-09-24 15:53:38	7.49e-08	4.81e-10	9.08e-10	1.01e-09	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  398.0	PI47-9a:LP-DIR-T5
	This study	This study		    1.4	211.6	 44.1 	PI47-9a:LP-DIR-T	hargrave 2015-09-25 12:36:42	7.01e-08	4.83e-10	1.18e-09	1.16e-09	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  423.0	PI47-9a:LP-DIR-T6
	This study	This study		    1.4	217.4	 42.8 	PI47-9a:LP-DIR-T	hargrave 2015-09-26 14:01:11	6.55e-08	9.45e-10	6.67e-10	1.04e-09	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  448.0	PI47-9a:LP-DIR-T7
	This study	This study		    1.5	215.0	 42.1 	PI47-9a:LP-DIR-T	hargrave 2015-09-26 19:58:01	6.33e-08	1.18e-09	7.38e-10	8.75e-10	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  473.0	PI47-9a:LP-DIR-T8
	This study	This study		    2.9	218.7	 41.4 	PI47-9a:LP-DIR-T	hargrave 2015-09-28 19:49:38	6.05e-08	1.63e-09	2.41e-09	1.01e-09	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  498.0	PI47-9a:LP-DIR-T9
	This study	This study		    1.3	215.7	 40.8 	PI47-9a:LP-DIR-T	hargrave 2015-10-01 12:08:19	5.88e-08	8.56e-10	4.20e-10	1.01e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  523.0	PI47-9a:LP-DIR-T10
	This study	This study		    2.9	219.0	 39.8 	PI47-9a:LP-DIR-T	hargrave 2015-10-05 19:00:28	5.35e-08	1.21e-09	2.35e-09	8.16e-10	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  548.0	PI47-9a:LP-DIR-T11
	This study	This study		    1.2	219.0	 39.4 	PI47-9a:LP-DIR-T	hargrave 2015-10-06 02:35:35	4.88e-08	4.47e-10	6.37e-10	7.40e-10	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  573.0	PI47-9a:LP-DIR-T12
	This study	This study		    1.9	222.1	 38.5 	PI47-9a:LP-DIR-T	hargrave 2015-10-06 07:10:40	4.37e-08	4.54e-10	1.22e-09	7.50e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  598.0	PI47-9a:LP-DIR-T13
	This study	This study		    1.3	218.4	 38.1 	PI47-9a:LP-DIR-T	hargrave 2015-10-06 12:56:37	3.93e-08	5.48e-10	2.25e-10	7.42e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  623.0	PI47-9a:LP-DIR-T14
	This study	This study		    4.5	222.6	 37.1 	PI47-9a:LP-DIR-T	hargrave 2015-10-08 13:31:49	3.45e-08	1.40e-09	2.23e-09	8.18e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  648.0	PI47-9a:LP-DIR-T15
	This study	This study		    4.3	222.8	 36.7 	PI47-9a:LP-DIR-T	hargrave 2015-10-10 16:34:30	3.03e-08	1.28e-09	1.81e-09	6.56e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  673.0	PI47-9a:LP-DIR-T16
	This study	This study		    5.9	225.5	 35.0 	PI47-9a:LP-DIR-T	hargrave 2015-10-13 11:22:16	2.64e-08	1.82e-09	2.04e-09	5.22e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  698.0	PI47-9a:LP-DIR-T17
	This study	This study		    4.7	229.8	 33.5 	PI47-9a:LP-DIR-T	hargrave 2015-10-13 17:03:23	2.32e-08	1.24e-09	1.35e-09	6.36e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  723.0	PI47-9a:LP-DIR-T18
	This study	This study		    3.5	226.6	 33.7 	PI47-9a:LP-DIR-T	hargrave 2015-10-16 18:48:40	1.89e-08	9.38e-10	7.39e-10	2.04e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  748.0	PI47-9a:LP-DIR-T19
	This study	This study		    3.2	228.3	 34.7 	PI47-9a:LP-DIR-T	hargrave 2015-10-19 18:40:14	1.66e-08	5.76e-10	6.36e-10	4.11e-10	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  773.0	PI47-9a:LP-DIR-T20
	This study	This study		    2.9	232.8	 35.3 	PI47-9a:LP-DIR-T	hargrave 2015-10-20 13:41:28	1.12e-08	4.02e-10	3.22e-10	3.34e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  798.0	PI47-9a:LP-DIR-T21
	This study	This study		    2.8	247.0	 33.5 	PI47-9a:LP-DIR-T	hargrave 2015-10-26 14:38:13	6.50e-09	2.26e-10	2.14e-10	9.50e-11	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  823.0	PI47-9a:LP-DIR-T22
	This study	This study	average of multiple measurements	    1.6	  229.9	   37.0	PI47-9a:LP-DIR-T	hargrave 2015-10-29 11:03:16	4.959e-09	2.25e-10	5.60e-11	7.85e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  833.0	PI47-9a:LP-DIR-T23
	This study	This study		    3.5	247.1	 54.9 	PI47-9a:LP-DIR-T	hargrave 2015-10-29 17:02:00	3.07e-09	1.17e-10	1.28e-10	7.36e-11	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  843.0	PI47-9a:LP-DIR-T24
	This study	This study		    3.9	250.9	 63.3 	PI47-9a:LP-DIR-T	hargrave 2015-10-31 12:34:06	2.77e-09	9.93e-11	1.40e-10	8.99e-11	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  848.0	PI47-9a:LP-DIR-T25
	This study	This study		    2.3	245.0	 57.7 	PI47-9a:LP-DIR-T	hargrave 2015-10-31 19:38:29	3.34e-09	8.56e-11	8.69e-11	8.00e-11	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  850.0	PI47-9a:LP-DIR-T26
	This study	This study		    2.5	231.5	 56.1 	PI47-9a:LP-DIR-T	hargrave 2015-11-05 12:19:18	2.66e-09	5.79e-11	6.40e-11	9.64e-11	8	273	LT-T-Z:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-9a	u	0	0	0.00	0.00	  852.0	PI47-9a:LP-DIR-T27
