tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_mass	meas_temp	measurement	method_codes	quality	specimen	standard	susc_chi_mass	treat_ac_field	treat_dc_field	treat_step_num	treat_temp
This study	193.5	46.8	25-3-011:LP-AF-DIR	4.25E-06	300	3917	LT-AF-Z	g	25-3-011	u		1.50E-02	0		300
This study			25-3-011:LP-ARM	9.05E-05	300	3918	LT-AF-I	g	25-3-011	u		8.00E-02	5.00E-05		300
This study			25-3-011:LP-IRM	1.38E-03	300	3919	LT-IRM	g	25-3-011	u		0	1		300
This study			25-3-011:LP-X		300	3920	LP-X		25-3-011		8.72E-08	1.00E-02	0		300
This study	200.2	30.2	25-3-013:LP-AF-DIR	3.38E-06	300	3921	LT-AF-Z	g	25-3-013	u		1.50E-02	0		300
This study			25-3-013:LP-ARM	8.54E-05	300	3922	LT-AF-I	g	25-3-013	u		8.00E-02	5.00E-05		300
This study			25-3-013:LP-IRM	1.29E-03	300	3923	LT-IRM	g	25-3-013	u		0	1		300
This study			25-3-013:LP-X		300	3924	LP-X		25-3-013		8.70E-08	1.00E-02	0		300
This study	187.5	18.1	25-3-017:LP-AF-DIR	2.99E-06	300	3925	LT-AF-Z	g	25-3-017	u		1.50E-02	0		300
This study			25-3-017:LP-ARM	9.60E-05	300	3926	LT-AF-I	g	25-3-017	u		8.00E-02	5.00E-05		300
This study			25-3-017:LP-IRM	1.50E-03	300	3927	LT-IRM	g	25-3-017	u		0	1		300
This study			25-3-017:LP-X		300	3928	LP-X		25-3-017		1.00E-07	1.00E-02	0		300
This study	44.7	47.1	25-3-020:LP-AF-DIR	1.19E-05	300	3929	LT-AF-Z	g	25-3-020	u		1.50E-02	0		300
This study			25-3-020:LP-ARM	9.39E-05	300	3930	LT-AF-I	g	25-3-020	u		8.00E-02	5.00E-05		300
This study			25-3-020:LP-IRM	1.53E-03	300	3931	LT-IRM	g	25-3-020	u		0	1		300
This study			25-3-020:LP-X		300	3932	LP-X		25-3-020		1.01E-07	1.00E-02	0		300
This study	168.4	33.9	25-3-023:LP-AF-DIR	5.86E-06	300	3933	LT-AF-Z	g	25-3-023	u		1.50E-02	0		300
This study			25-3-023:LP-ARM	8.82E-05	300	3934	LT-AF-I	g	25-3-023	u		8.00E-02	5.00E-05		300
This study			25-3-023:LP-IRM	1.56E-03	300	3935	LT-IRM	g	25-3-023	u		0	1		300
This study			25-3-023:LP-X		300	3936	LP-X		25-3-023		1.09E-07	1.00E-02	0		300
This study	182.1	47.4	25-3-027:LP-AF-DIR	6.69E-06	300	3937	LT-AF-Z	g	25-3-027	u		1.50E-02	0		300
This study			25-3-027:LP-ARM	1.00E-04	300	3938	LT-AF-I	g	25-3-027	u		8.00E-02	5.00E-05		300
This study			25-3-027:LP-IRM	1.68E-03	300	3939	LT-IRM	g	25-3-027	u		0	1		300
This study			25-3-027:LP-X		300	3940	LP-X		25-3-027		1.12E-07	1.00E-02	0		300
This study	181.5	52.8	25-3-029:LP-AF-DIR	8.15E-06	300	3941	LT-AF-Z	g	25-3-029	u		1.50E-02	0		300
This study			25-3-029:LP-ARM	9.37E-05	300	3942	LT-AF-I	g	25-3-029	u		8.00E-02	5.00E-05		300
This study			25-3-029:LP-IRM	1.68E-03	300	3943	LT-IRM	g	25-3-029	u		0	1		300
This study			25-3-029:LP-X		300	3944	LP-X		25-3-029		1.10E-07	1.00E-02	0		300
This study	195.6	63.9	25-3-032:LP-AF-DIR	6.82E-06	300	3945	LT-AF-Z	g	25-3-032	u		1.50E-02	0		300
This study			25-3-032:LP-ARM	8.83E-05	300	3946	LT-AF-I	g	25-3-032	u		8.00E-02	5.00E-05		300
This study			25-3-032:LP-IRM	1.48E-03	300	3947	LT-IRM	g	25-3-032	u		0	1		300
This study			25-3-032:LP-X		300	3948	LP-X		25-3-032		9.37E-08	1.00E-02	0		300
This study	179.7	46.8	25-3-035:LP-AF-DIR	4.94E-06	300	3949	LT-AF-Z	g	25-3-035	u		1.50E-02	0		300
This study			25-3-035:LP-ARM	8.19E-05	300	3950	LT-AF-I	g	25-3-035	u		8.00E-02	5.00E-05		300
This study			25-3-035:LP-IRM	1.35E-03	300	3951	LT-IRM	g	25-3-035	u		0	1		300
This study			25-3-035:LP-X		300	3952	LP-X		25-3-035		8.59E-08	1.00E-02	0		300
This study	179.9	46.2	25-3-039:LP-AF-DIR	3.94E-06	300	3953	LT-AF-Z	g	25-3-039	u		1.50E-02	0		300
This study			25-3-039:LP-ARM	8.70E-05	300	3954	LT-AF-I	g	25-3-039	u		8.00E-02	5.00E-05		300
This study			25-3-039:LP-IRM	1.36E-03	300	3955	LT-IRM	g	25-3-039	u		0	1		300
This study			25-3-039:LP-X		300	3956	LP-X		25-3-039		8.82E-08	1.00E-02	0		300
This study	178.9	37.7	25-3-042:LP-AF-DIR	4.47E-06	300	3957	LT-AF-Z	g	25-3-042	u		1.50E-02	0		300
This study			25-3-042:LP-ARM	7.65E-05	300	3958	LT-AF-I	g	25-3-042	u		8.00E-02	5.00E-05		300
This study			25-3-042:LP-IRM	1.28E-03	300	3959	LT-IRM	g	25-3-042	u		0	1		300
This study			25-3-042:LP-X		300	3960	LP-X		25-3-042		8.71E-08	1.00E-02	0		300
This study	184.7	38.1	25-3-045:LP-AF-DIR	3.70E-06	300	3961	LT-AF-Z	g	25-3-045	u		1.50E-02	0		300
This study			25-3-045:LP-ARM	7.66E-05	300	3962	LT-AF-I	g	25-3-045	u		8.00E-02	5.00E-05		300
This study			25-3-045:LP-IRM	1.26E-03	300	3963	LT-IRM	g	25-3-045	u		0	1		300
This study			25-3-045:LP-X		300	3964	LP-X		25-3-045		8.25E-08	1.00E-02	0		300
This study	171	-10.6	25-3-051:LP-AF-DIR	3.79E-07	300	3965	LT-AF-Z	g	25-3-051	u		1.50E-02	0		300
This study			25-3-051:LP-ARM	2.17E-05	300	3966	LT-AF-I	g	25-3-051	u		8.00E-02	5.00E-05		300
This study			25-3-051:LP-IRM	1.11E-03	300	3967	LT-IRM	g	25-3-051	u		0	1		300
This study			25-3-051:LP-X		300	3968	LP-X		25-3-051		7.34E-08	1.00E-02	0		300
This study	179.9	33.5	25-3-054:LP-AF-DIR	1.19E-06	300	3969	LT-AF-Z	g	25-3-054	u		1.50E-02	0		300
This study			25-3-054:LP-ARM	6.59E-05	300	3970	LT-AF-I	g	25-3-054	u		8.00E-02	5.00E-05		300
This study			25-3-054:LP-IRM	1.12E-03	300	3971	LT-IRM	g	25-3-054	u		0	1		300
This study			25-3-054:LP-X		300	3972	LP-X		25-3-054		7.19E-08	1.00E-02	0		300
This study	188.4	36.8	25-3-056:LP-AF-DIR	2.39E-06	300	3973	LT-AF-Z	g	25-3-056	u		1.50E-02	0		300
This study			25-3-056:LP-ARM	7.32E-05	300	3974	LT-AF-I	g	25-3-056	u		8.00E-02	5.00E-05		300
This study			25-3-056:LP-IRM	1.24E-03	300	3975	LT-IRM	g	25-3-056	u		0	1		300
This study			25-3-056:LP-X		300	3976	LP-X		25-3-056		7.84E-08	1.00E-02	0		300
This study	191.4	38.7	25-3-061:LP-AF-DIR	3.80E-06	300	3977	LT-AF-Z	g	25-3-061	u		1.50E-02	0		300
This study			25-3-061:LP-ARM	7.33E-05	300	3978	LT-AF-I	g	25-3-061	u		8.00E-02	5.00E-05		300
This study			25-3-061:LP-IRM	1.24E-03	300	3979	LT-IRM	g	25-3-061	u		0	1		300
This study			25-3-061:LP-X		300	3980	LP-X		25-3-061		7.82E-08	1.00E-02	0		300
This study	161.5	42.6	25-3-065:LP-AF-DIR	2.13E-06	300	3981	LT-AF-Z	g	25-3-065	u		1.50E-02	0		300
This study			25-3-065:LP-ARM	6.11E-05	300	3982	LT-AF-I	g	25-3-065	u		8.00E-02	5.00E-05		300
This study			25-3-065:LP-IRM	1.10E-03	300	3983	LT-IRM	g	25-3-065	u		0	1		300
This study			25-3-065:LP-X		300	3984	LP-X		25-3-065		7.28E-08	1.00E-02	0		300
This study	161.9	36.4	25-3-067:LP-AF-DIR	3.97E-06	300	3985	LT-AF-Z	g	25-3-067	u		1.50E-02	0		300
This study			25-3-067:LP-ARM	6.66E-05	300	3986	LT-AF-I	g	25-3-067	u		8.00E-02	5.00E-05		300
This study			25-3-067:LP-IRM	1.09E-03	300	3987	LT-IRM	g	25-3-067	u		0	1		300
This study			25-3-067:LP-X		300	3988	LP-X		25-3-067		6.62E-08	1.00E-02	0		300
This study	156.7	44.2	25-3-070:LP-AF-DIR	3.91E-06	300	3989	LT-AF-Z	g	25-3-070	u		1.50E-02	0		300
This study			25-3-070:LP-ARM	6.62E-05	300	3990	LT-AF-I	g	25-3-070	u		8.00E-02	5.00E-05		300
This study			25-3-070:LP-IRM	1.08E-03	300	3991	LT-IRM	g	25-3-070	u		0	1		300
This study			25-3-070:LP-X		300	3992	LP-X		25-3-070		7.12E-08	1.00E-02	0		300
This study	159.3	42.4	25-3-073:LP-AF-DIR	3.58E-06	300	3993	LT-AF-Z	g	25-3-073	u		1.50E-02	0		300
This study			25-3-073:LP-ARM	6.33E-05	300	3994	LT-AF-I	g	25-3-073	u		8.00E-02	5.00E-05		300
This study			25-3-073:LP-IRM	1.01E-03	300	3995	LT-IRM	g	25-3-073	u		0	1		300
This study			25-3-073:LP-X		300	3996	LP-X		25-3-073		6.27E-08	1.00E-02	0		300
This study	171.1	41.5	25-3-076:LP-AF-DIR	3.26E-06	300	3997	LT-AF-Z	g	25-3-076	u		1.50E-02	0		300
This study			25-3-076:LP-ARM	6.29E-05	300	3998	LT-AF-I	g	25-3-076	u		8.00E-02	5.00E-05		300
This study			25-3-076:LP-IRM	1.01E-03	300	3999	LT-IRM	g	25-3-076	u		0	1		300
This study			25-3-076:LP-X		300	4000	LP-X		25-3-076		6.18E-08	1.00E-02	0		300
This study	164.3	30.8	25-3-079:LP-AF-DIR	2.96E-06	300	4001	LT-AF-Z	g	25-3-079	u		1.50E-02	0		300
This study			25-3-079:LP-ARM	6.73E-05	300	4002	LT-AF-I	g	25-3-079	u		8.00E-02	5.00E-05		300
This study			25-3-079:LP-IRM	1.05E-03	300	4003	LT-IRM	g	25-3-079	u		0	1		300
This study			25-3-079:LP-X		300	4004	LP-X		25-3-079		6.49E-08	1.00E-02	0		300
This study	177.6	24.8	25-3-082:LP-AF-DIR	2.49E-06	300	4005	LT-AF-Z	g	25-3-082	u		1.50E-02	0		300
This study			25-3-082:LP-ARM	6.43E-05	300	4006	LT-AF-I	g	25-3-082	u		8.00E-02	5.00E-05		300
This study			25-3-082:LP-IRM	1.02E-03	300	4007	LT-IRM	g	25-3-082	u		0	1		300
This study			25-3-082:LP-X		300	4008	LP-X		25-3-082		6.43E-08	1.00E-02	0		300
This study	176.4	32.8	25-3-085:LP-AF-DIR	3.19E-06	300	4009	LT-AF-Z	g	25-3-085	u		1.50E-02	0		300
This study			25-3-085:LP-ARM	6.98E-05	300	4010	LT-AF-I	g	25-3-085	u		8.00E-02	5.00E-05		300
This study			25-3-085:LP-IRM	1.08E-03	300	4011	LT-IRM	g	25-3-085	u		0	1		300
This study			25-3-085:LP-X		300	4012	LP-X		25-3-085		6.82E-08	1.00E-02	0		300
This study	188.6	22.9	25-3-086:LP-AF-DIR	1.90E-06	300	4013	LT-AF-Z	g	25-3-086	u		1.50E-02	0		300
This study			25-3-086:LP-ARM	7.30E-05	300	4014	LT-AF-I	g	25-3-086	u		8.00E-02	5.00E-05		300
This study			25-3-086:LP-IRM	1.09E-03	300	4015	LT-IRM	g	25-3-086	u		0	1		300
This study			25-3-086:LP-X		300	4016	LP-X		25-3-086		6.76E-08	1.00E-02	0		300
This study	336.5	50.5	26-1-036:LP-AF-DIR	2.50E-06	300	4017	LT-AF-Z	g	26-1-036	u		1.50E-02	0		300
This study			26-1-036:LP-ARM	8.18E-05	300	4018	LT-AF-I	g	26-1-036	u		8.00E-02	5.00E-05		300
This study			26-1-036:LP-IRM	1.35E-03	300	4019	LT-IRM	g	26-1-036	u		0	1		300
This study			26-1-036:LP-X		300	4020	LP-X		26-1-036		9.44E-08	1.00E-02	0		300
This study	353.5	-21.3	26-1-041:LP-AF-DIR	2.86E-06	300	4021	LT-AF-Z	g	26-1-041	u		1.50E-02	0		300
This study			26-1-041:LP-ARM	7.46E-05	300	4022	LT-AF-I	g	26-1-041	u		8.00E-02	5.00E-05		300
This study			26-1-041:LP-IRM	1.11E-03	300	4023	LT-IRM	g	26-1-041	u		0	1		300
This study			26-1-041:LP-X		300	4024	LP-X		26-1-041		7.34E-08	1.00E-02	0		300
This study	5.2	-35.5	26-1-044:LP-AF-DIR	3.99E-06	300	4025	LT-AF-Z	g	26-1-044	u		1.50E-02	0		300
This study			26-1-044:LP-ARM	7.59E-05	300	4026	LT-AF-I	g	26-1-044	u		8.00E-02	5.00E-05		300
This study			26-1-044:LP-IRM	1.12E-03	300	4027	LT-IRM	g	26-1-044	u		0	1		300
This study			26-1-044:LP-X		300	4028	LP-X		26-1-044		7.40E-08	1.00E-02	0		300
This study	351.7	-9.9	26-1-046:LP-AF-DIR	4.43E-06	300	4029	LT-AF-Z	g	26-1-046	u		1.50E-02	0		300
This study			26-1-046:LP-ARM	7.84E-05	300	4030	LT-AF-I	g	26-1-046	u		8.00E-02	5.00E-05		300
This study			26-1-046:LP-IRM	1.16E-03	300	4031	LT-IRM	g	26-1-046	u		0	1		300
This study			26-1-046:LP-X		300	4032	LP-X		26-1-046		7.70E-08	1.00E-02	0		300
This study	347.8	-9.3	26-1-050:LP-AF-DIR	3.34E-06	300	4033	LT-AF-Z	g	26-1-050	u		1.50E-02	0		300
This study			26-1-050:LP-ARM	7.78E-05	300	4034	LT-AF-I	g	26-1-050	u		8.00E-02	5.00E-05		300
This study			26-1-050:LP-IRM	1.21E-03	300	4035	LT-IRM	g	26-1-050	u		0	1		300
This study			26-1-050:LP-X		300	4036	LP-X		26-1-050		8.44E-08	1.00E-02	0		300
This study	34.6	-46.3	26-1-053:LP-AF-DIR	5.69E-06	300	4037	LT-AF-Z	g	26-1-053	u		1.50E-02	0		300
This study			26-1-053:LP-ARM	8.17E-05	300	4038	LT-AF-I	g	26-1-053	u		8.00E-02	5.00E-05		300
This study			26-1-053:LP-IRM	1.27E-03	300	4039	LT-IRM	g	26-1-053	u		0	1		300
This study			26-1-053:LP-X		300	4040	LP-X		26-1-053		9.05E-08	1.00E-02	0		300
This study	23.1	-42.5	26-1-055:LP-AF-DIR	5.02E-06	300	4041	LT-AF-Z	g	26-1-055	u		1.50E-02	0		300
This study			26-1-055:LP-ARM	8.74E-05	300	4042	LT-AF-I	g	26-1-055	u		8.00E-02	5.00E-05		300
This study			26-1-055:LP-IRM	1.36E-03	300	4043	LT-IRM	g	26-1-055	u		0	1		300
This study			26-1-055:LP-X		300	4044	LP-X		26-1-055		9.74E-08	1.00E-02	0		300
This study	23.6	-46.5	26-1-058:LP-AF-DIR	6.30E-06	300	4045	LT-AF-Z	g	26-1-058	u		1.50E-02	0		300
This study			26-1-058:LP-ARM	8.17E-05	300	4046	LT-AF-I	g	26-1-058	u		8.00E-02	5.00E-05		300
This study			26-1-058:LP-IRM	1.28E-03	300	4047	LT-IRM	g	26-1-058	u		0	1		300
This study			26-1-058:LP-X		300	4048	LP-X		26-1-058		9.20E-08	1.00E-02	0		300
This study	358.4	-41.9	26-1-061:LP-AF-DIR	3.14E-06	300	4049	LT-AF-Z	g	26-1-061	u		1.50E-02	0		300
This study			26-1-061:LP-ARM	7.17E-05	300	4050	LT-AF-I	g	26-1-061	u		8.00E-02	5.00E-05		300
This study			26-1-061:LP-IRM	1.07E-03	300	4051	LT-IRM	g	26-1-061	u		0	1		300
This study			26-1-061:LP-X		300	4052	LP-X		26-1-061		7.45E-08	1.00E-02	0		300
This study	18.1	-40	26-1-063:LP-AF-DIR	3.33E-06	300	4053	LT-AF-Z	g	26-1-063	u		1.50E-02	0		300
This study			26-1-063:LP-ARM	7.34E-05	300	4054	LT-AF-I	g	26-1-063	u		8.00E-02	5.00E-05		300
This study			26-1-063:LP-IRM	1.10E-03	300	4055	LT-IRM	g	26-1-063	u		0	1		300
This study			26-1-063:LP-X		300	4056	LP-X		26-1-063		7.27E-08	1.00E-02	0		300
This study	29.3	-42.7	26-1-067:LP-AF-DIR	2.48E-06	300	4057	LT-AF-Z	g	26-1-067	u		1.50E-02	0		300
This study			26-1-067:LP-ARM	7.39E-05	300	4058	LT-AF-I	g	26-1-067	u		8.00E-02	5.00E-05		300
This study			26-1-067:LP-IRM	1.09E-03	300	4059	LT-IRM	g	26-1-067	u		0	1		300
This study			26-1-067:LP-X		300	4060	LP-X		26-1-067		7.67E-08	1.00E-02	0		300
This study	353.2	-26	26-1-071:LP-AF-DIR	1.99E-06	300	4061	LT-AF-Z	g	26-1-071	u		1.50E-02	0		300
This study			26-1-071:LP-ARM	7.07E-05	300	4062	LT-AF-I	g	26-1-071	u		8.00E-02	5.00E-05		300
This study			26-1-071:LP-IRM	1.12E-03	300	4063	LT-IRM	g	26-1-071	u		0	1		300
This study			26-1-071:LP-X		300	4064	LP-X		26-1-071		1.13E-07	1.00E-02	0		300
This study	348.7	-29.3	26-1-075:LP-AF-DIR	3.05E-06	300	4065	LT-AF-Z	g	26-1-075	u		1.50E-02	0		300
This study			26-1-075:LP-ARM	6.43E-05	300	4066	LT-AF-I	g	26-1-075	u		8.00E-02	5.00E-05		300
This study			26-1-075:LP-IRM	1.01E-03	300	4067	LT-IRM	g	26-1-075	u		0	1		300
This study			26-1-075:LP-X		300	4068	LP-X		26-1-075		7.13E-08	1.00E-02	0		300
This study	353.5	-26.3	26-1-078:LP-AF-DIR	3.35E-06	300	4069	LT-AF-Z	g	26-1-078	u		1.50E-02	0		300
This study			26-1-078:LP-ARM	6.94E-05	300	4070	LT-AF-I	g	26-1-078	u		8.00E-02	5.00E-05		300
This study			26-1-078:LP-IRM	1.13E-03	300	4071	LT-IRM	g	26-1-078	u		0	1		300
This study			26-1-078:LP-X		300	4072	LP-X		26-1-078		7.87E-08	1.00E-02	0		300
This study	8.5	-35.9	26-1-083:LP-AF-DIR	2.89E-06	300	4073	LT-AF-Z	g	26-1-083	u		1.50E-02	0		300
This study			26-1-083:LP-ARM	8.32E-05	300	4074	LT-AF-I	g	26-1-083	u		8.00E-02	5.00E-05		300
This study			26-1-083:LP-IRM	1.26E-03	300	4075	LT-IRM	g	26-1-083	u		0	1		300
This study			26-1-083:LP-X		300	4076	LP-X		26-1-083		8.90E-08	1.00E-02	0		300
This study	357.5	-27.2	26-1-086:LP-AF-DIR	2.12E-06	300	4077	LT-AF-Z	g	26-1-086	u		1.50E-02	0		300
This study			26-1-086:LP-ARM	8.26E-05	300	4078	LT-AF-I	g	26-1-086	u		8.00E-02	5.00E-05		300
This study			26-1-086:LP-IRM	1.23E-03	300	4079	LT-IRM	g	26-1-086	u		0	1		300
This study			26-1-086:LP-X		300	4080	LP-X		26-1-086		8.69E-08	1.00E-02	0		300
This study	302.5	-0.6	26-1-089:LP-AF-DIR	2.74E-06	300	4081	LT-AF-Z	g	26-1-089	u		1.50E-02	0		300
This study			26-1-089:LP-ARM	8.61E-05	300	4082	LT-AF-I	g	26-1-089	u		8.00E-02	5.00E-05		300
This study			26-1-089:LP-IRM	1.36E-03	300	4083	LT-IRM	g	26-1-089	u		0	1		300
This study			26-1-089:LP-X		300	4084	LP-X		26-1-089		9.80E-08	1.00E-02	0		300
This study	328.1	-47.1	26-1-094:LP-AF-DIR	4.65E-06	300	4085	LT-AF-Z	g	26-1-094	u		1.50E-02	0		300
This study			26-1-094:LP-ARM	8.17E-05	300	4086	LT-AF-I	g	26-1-094	u		8.00E-02	5.00E-05		300
This study			26-1-094:LP-IRM	1.39E-03	300	4087	LT-IRM	g	26-1-094	u		0	1		300
This study			26-1-094:LP-X		300	4088	LP-X		26-1-094		9.70E-08	1.00E-02	0		300
This study	347.8	-16.9	26-1-098:LP-AF-DIR	3.29E-06	300	4089	LT-AF-Z	g	26-1-098	u		1.50E-02	0		300
This study			26-1-098:LP-ARM	8.34E-05	300	4090	LT-AF-I	g	26-1-098	u		8.00E-02	5.00E-05		300
This study			26-1-098:LP-IRM	1.32E-03	300	4091	LT-IRM	g	26-1-098	u		0	1		300
This study			26-1-098:LP-X		300	4092	LP-X		26-1-098		8.82E-08	1.00E-02	0		300
This study	348.4	-32.1	26-1-101:LP-AF-DIR	2.19E-06	300	4093	LT-AF-Z	g	26-1-101	u		1.50E-02	0		300
This study			26-1-101:LP-ARM	8.07E-05	300	4094	LT-AF-I	g	26-1-101	u		8.00E-02	5.00E-05		300
This study			26-1-101:LP-IRM	1.23E-03	300	4095	LT-IRM	g	26-1-101	u		0	1		300
This study			26-1-101:LP-X		300	4096	LP-X		26-1-101		8.43E-08	1.00E-02	0		300
This study	342.1	-36.4	26-1-104:LP-AF-DIR	2.29E-06	300	4097	LT-AF-Z	g	26-1-104	u		1.50E-02	0		300
This study			26-1-104:LP-ARM	7.79E-05	300	4098	LT-AF-I	g	26-1-104	u		8.00E-02	5.00E-05		300
This study			26-1-104:LP-IRM	1.21E-03	300	4099	LT-IRM	g	26-1-104	u		0	1		300
This study			26-1-104:LP-X		300	4100	LP-X		26-1-104		8.12E-08	1.00E-02	0		300
This study	272.9	-44.9	26-1-107:LP-AF-DIR	3.38E-06	300	4101	LT-AF-Z	g	26-1-107	u		1.50E-02	0		300
This study			26-1-107:LP-ARM	7.76E-05	300	4102	LT-AF-I	g	26-1-107	u		8.00E-02	5.00E-05		300
This study			26-1-107:LP-IRM	1.21E-03	300	4103	LT-IRM	g	26-1-107	u		0	1		300
This study			26-1-107:LP-X		300	4104	LP-X		26-1-107		8.27E-08	1.00E-02	0		300
This study	306.6	-37.5	26-1-110:LP-AF-DIR	2.69E-06	300	4105	LT-AF-Z	g	26-1-110	u		1.50E-02	0		300
This study			26-1-110:LP-ARM	7.47E-05	300	4106	LT-AF-I	g	26-1-110	u		8.00E-02	5.00E-05		300
This study			26-1-110:LP-IRM	1.11E-03	300	4107	LT-IRM	g	26-1-110	u		0	1		300
This study			26-1-110:LP-X		300	4108	LP-X		26-1-110		7.59E-08	1.00E-02	0		300
This study	305.1	-61.7	26-1-113:LP-AF-DIR	3.03E-06	300	4109	LT-AF-Z	g	26-1-113	u		1.50E-02	0		300
This study			26-1-113:LP-ARM	7.22E-05	300	4110	LT-AF-I	g	26-1-113	u		8.00E-02	5.00E-05		300
This study			26-1-113:LP-IRM	1.08E-03	300	4111	LT-IRM	g	26-1-113	u		0	1		300
This study			26-1-113:LP-X		300	4112	LP-X		26-1-113		7.34E-08	1.00E-02	0		300
This study	317	-23.8	26-1-116:LP-AF-DIR	2.33E-06	300	4113	LT-AF-Z	g	26-1-116	u		1.50E-02	0		300
This study			26-1-116:LP-ARM	8.76E-05	300	4114	LT-AF-I	g	26-1-116	u		8.00E-02	5.00E-05		300
This study			26-1-116:LP-IRM	1.34E-03	300	4115	LT-IRM	g	26-1-116	u		0	1		300
This study			26-1-116:LP-X		300	4116	LP-X		26-1-116		9.01E-08	1.00E-02	0		300
This study	339.7	-42.4	26-1-119:LP-AF-DIR	1.75E-06	300	4117	LT-AF-Z	g	26-1-119	u		1.50E-02	0		300
This study			26-1-119:LP-ARM	8.80E-05	300	4118	LT-AF-I	g	26-1-119	u		8.00E-02	5.00E-05		300
This study			26-1-119:LP-IRM	1.34E-03	300	4119	LT-IRM	g	26-1-119	u		0	1		300
This study			26-1-119:LP-X		300	4120	LP-X		26-1-119		9.32E-08	1.00E-02	0		300
This study	339.8	-48.3	26-1-123:LP-AF-DIR	2.56E-06	300	4121	LT-AF-Z	g	26-1-123	u		1.50E-02	0		300
This study			26-1-123:LP-ARM	8.78E-05	300	4122	LT-AF-I	g	26-1-123	u		8.00E-02	5.00E-05		300
This study			26-1-123:LP-IRM	1.27E-03	300	4123	LT-IRM	g	26-1-123	u		0	1		300
This study			26-1-123:LP-X		300	4124	LP-X		26-1-123		9.62E-08	1.00E-02	0		300
This study	276.8	-37	26-1-127:LP-AF-DIR	3.26E-06	300	4125	LT-AF-Z	g	26-1-127	u		1.50E-02	0		300
This study			26-1-127:LP-ARM	8.42E-05	300	4126	LT-AF-I	g	26-1-127	u		8.00E-02	5.00E-05		300
This study			26-1-127:LP-IRM	1.21E-03	300	4127	LT-IRM	g	26-1-127	u		0	1		300
This study			26-1-127:LP-X		300	4128	LP-X		26-1-127		8.42E-08	1.00E-02	0		300
This study	314.7	-30.1	26-1-130:LP-AF-DIR	1.91E-06	300	4129	LT-AF-Z	g	26-1-130	u		1.50E-02	0		300
This study			26-1-130:LP-ARM	8.13E-05	300	4130	LT-AF-I	g	26-1-130	u		8.00E-02	5.00E-05		300
This study			26-1-130:LP-IRM	1.18E-03	300	4131	LT-IRM	g	26-1-130	u		0	1		300
This study			26-1-130:LP-X		300	4132	LP-X		26-1-130		8.57E-08	1.00E-02	0		300
This study	321.1	-45.2	26-1-133:LP-AF-DIR	4.05E-06	300	4133	LT-AF-Z	g	26-1-133	u		1.50E-02	0		300
This study			26-1-133:LP-ARM	8.78E-05	300	4134	LT-AF-I	g	26-1-133	u		8.00E-02	5.00E-05		300
This study			26-1-133:LP-IRM	1.37E-03	300	4135	LT-IRM	g	26-1-133	u		0	1		300
This study			26-1-133:LP-X		300	4136	LP-X		26-1-133		9.94E-08	1.00E-02	0		300
This study	329.5	-38.4	26-1-136:LP-AF-DIR	4.33E-06	300	4137	LT-AF-Z	g	26-1-136	u		1.50E-02	0		300
This study			26-1-136:LP-ARM	8.58E-05	300	4138	LT-AF-I	g	26-1-136	u		8.00E-02	5.00E-05		300
This study			26-1-136:LP-IRM	1.35E-03	300	4139	LT-IRM	g	26-1-136	u		0	1		300
This study			26-1-136:LP-X		300	4140	LP-X		26-1-136		9.69E-08	1.00E-02	0		300
This study	293	-47.6	26-1-138:LP-AF-DIR	2.63E-06	300	4141	LT-AF-Z	g	26-1-138	u		1.50E-02	0		300
This study			26-1-138:LP-ARM	8.60E-05	300	4142	LT-AF-I	g	26-1-138	u		8.00E-02	5.00E-05		300
This study			26-1-138:LP-IRM	1.30E-03	300	4143	LT-IRM	g	26-1-138	u		0	1		300
This study			26-1-138:LP-X		300	4144	LP-X		26-1-138		9.11E-08	1.00E-02	0		300
This study	311.8	-9.6	26-1-143:LP-AF-DIR	2.70E-06	300	4145	LT-AF-Z	g	26-1-143	u		1.50E-02	0		300
This study			26-1-143:LP-ARM	9.88E-05	300	4146	LT-AF-I	g	26-1-143	u		8.00E-02	5.00E-05		300
This study			26-1-143:LP-IRM	1.39E-03	300	4147	LT-IRM	g	26-1-143	u		0	1		300
This study			26-1-143:LP-X		300	4148	LP-X		26-1-143		9.38E-08	1.00E-02	0		300
This study	315.3	-31	26-1-148:LP-AF-DIR	1.92E-06	300	4149	LT-AF-Z	g	26-1-148	u		1.50E-02	0		300
This study			26-1-148:LP-ARM	8.97E-05	300	4150	LT-AF-I	g	26-1-148	u		8.00E-02	5.00E-05		300
This study			26-1-148:LP-IRM	1.30E-03	300	4151	LT-IRM	g	26-1-148	u		0	1		300
This study			26-1-148:LP-X		300	4152	LP-X		26-1-148		8.82E-08	1.00E-02	0		300
This study	262.8	-12.4	26-2-001:LP-AF-DIR	4.23E-06	300	4153	LT-AF-Z	g	26-2-001	u		1.50E-02	0		300
This study			26-2-001:LP-ARM	9.19E-05	300	4154	LT-AF-I	g	26-2-001	u		8.00E-02	5.00E-05		300
This study			26-2-001:LP-IRM	1.32E-03	300	4155	LT-IRM	g	26-2-001	u		0	1		300
This study			26-2-001:LP-X		300	4156	LP-X		26-2-001		8.60E-08	1.00E-02	0		300
This study	254.1	-50.8	26-2-004:LP-AF-DIR	3.03E-06	300	4157	LT-AF-Z	g	26-2-004	u		1.50E-02	0		300
