tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_n	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	magic_method_codes	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
3.57	169.721854	115.419794	96.999575	6.000000	0.273192:0.343623:0.383185:0.001999:-0.035118:0.045916	6.000000	0.005514	ATRM				This study	Critical F: 3.1059									mgh03b05;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03b		mgh03b05
	169.721854	115.419794	96.999575	6.000000	0.273192:0.343623:0.383185:0.001999:-0.035118:0.045916		0.005514					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03b05			6.13e-05	0.03	c	1.29	0.95	2.99	0.72	0.97	0.93	0.89	4.16	12	6	33.20	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	858	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03b		mgh03b05
3.28	71.134744	34.311664	55.448124	6.000000	0.295582:0.368742:0.335675:0.055592:0.021259:-0.012454	6.000000	0.007528	ATRM				This study	Critical F: 3.1059									mgh03b06;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03b		mgh03b06
	71.134744	34.311664	55.448124	6.000000	0.295582:0.368742:0.335675:0.055592:0.021259:-0.012454		0.007528					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03b06			7.20e-05	0.03	c	1.10	0.96	2.75	5.83	0.89	0.87	0.88	2.53	11	4	25.08	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03b		mgh03b06
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03c		mgh03c01
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03c		mgh03c02
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03c		mgh03c03
8.39	2.018555	0.604067	2.064061	6.000000	0.319621:0.340224:0.340155:-0.023643:-0.001953:0.008948	6.000000	0.017626	ATRM				This study	Critical F: 3.1059									mgh03d01;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d01
4.17	4.540320	2.826096	2.849320	6.000000	0.318263:0.332358:0.349379:0.004239:-0.000857:0.010537	6.000000	0.008101	ATRM				This study	Critical F: 3.1059									mgh03d02;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d02
5.00	1.244138	1.500550	0.236564	6.000000	0.327077:0.346651:0.326272:0.002356:-0.001360:0.003244	6.000000	0.009857	ATRM				This study	Critical F: 3.1059									mgh03d03;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d03
7.66	2.217741	2.427183	0.562561	6.000000	0.322272:0.329124:0.348604:-0.002241:0.004667:0.007367	6.000000	0.009827	ATRM				This study	Critical F: 3.1059									mgh03d04;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d04
19.97	5.203391	4.428021	2.204200	6.000000	0.314151:0.333219:0.352630:-0.005769:0.008896:-0.003058	6.000000	0.008697	ATRM				This study	Critical F: 3.1059									mgh03d05;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d05
	5.203391	4.428021	2.204200	6.000000	0.314151:0.333219:0.352630:-0.005769:0.008896:-0.003058		0.008697					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03d05			7.78e-05	0.05	c	1.00	1.04	6.97	1.83	0.88	0.91	0.72	2.71	7	2	12.73	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	673	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03d		mgh03d05
8.13	1.017712	1.551443	0.057664	6.000000	0.330159:0.325922:0.343919:0.000767:0.002737:-0.011529	6.000000	0.013432	ATRM				This study	Critical F: 3.1059									mgh03d06;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d06
7.87	5.433428	1.089147	6.448496	6.000000	0.323501:0.334199:0.342300:-0.025971:0.001944:-0.005065	6.000000	0.010804	ATRM				This study	Critical F: 3.1059									mgh03d07;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03d		mgh03d07
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03e		mgh03e01
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03e		mgh03e02
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03e		mgh03e03
13.92	21.136672	7.866424	19.408387	6.000000	0.306106:0.361791:0.332103:0.005672:0.013445:-0.018861	6.000000	0.007135	ATRM				This study	Critical F: 3.1059									mgh03f01;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f01
	21.136672	7.866424	19.408387	6.000000	0.306106:0.361791:0.332103:0.005672:0.013445:-0.018861		0.007135					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03f01			8.10e-05	0.06	c	1.06	0.96	2.07	0.96	0.74	0.82	0.87	2.85	9	4	11.45	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	773	373	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03f		mgh03f01
14.29	11.449510	7.521847	6.796174	6.000000	0.323551:0.336263:0.340186:0.004868:-0.010873:-0.034925	6.000000	0.010021	ATRM				This study	Critical F: 3.1059									mgh03f02;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f02
	11.449510	7.521847	6.796174	6.000000	0.323551:0.336263:0.340186:0.004868:-0.010873:-0.034925		0.010021					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03f02			8.71e-05	0.05	c	1.01	0.95	2.88	3.97	0.80	0.91	0.88	2.70	10	4	13.42	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	373	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03f		mgh03f02
12.93	9.530268	6.064519	5.849024	6.000000	0.354885:0.309219:0.335895:0.035996:0.000629:-0.015692	6.000000	0.013178	ATRM				This study	Critical F: 3.1059									mgh03f03;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f03
12.30	16.010135	6.622133	13.827707	6.000000	0.347161:0.317678:0.335162:0.023095:-0.018151:0.038072	6.000000	0.011248	ATRM				This study	Critical F: 3.1059									mgh03f04;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f04
2.69	27.859792	20.248412	14.722394	6.000000	0.332366:0.315918:0.351715:0.008541:-0.011960:0.018749	6.000000	0.005051	ATRM				This study	Critical F: 3.1059									mgh03f05;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f05
	27.859792	20.248412	14.722394	6.000000	0.332366:0.315918:0.351715:0.008541:-0.011960:0.018749		0.005051					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03f05			7.47e-05	0.01	c	1.12	0.94	2.07	1.17	0.77	0.84	0.88	2.82	10	5	54.73	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03f		mgh03f05
6.71	5.125255	1.626462	5.102060	6.000000	0.341945:0.345985:0.312070:0.006956:0.002660:0.006424	6.000000	0.008287	ATRM				This study	Critical F: 3.1059									mgh03f06;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f06
	5.125255	1.626462	5.102060	6.000000	0.341945:0.345985:0.312070:0.006956:0.002660:0.006424		0.008287					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03f06			8.74e-05	0.01	c	0.96	0.94	0.90	3.72	0.73	0.80	0.87	3.15	9	5	50.00	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	473	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03f		mgh03f06
2.55	33.297807	12.934495	29.849525	6.000000	0.313965:0.333519:0.352516:-0.013934:0.025700:0.038184	6.000000	0.008031	ATRM				This study	Critical F: 3.1059									mgh03f07;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03f		mgh03f07
	33.297807	12.934495	29.849525	6.000000	0.313965:0.333519:0.352516:-0.013934:0.025700:0.038184		0.008031					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03f07			7.90e-05	0.04	c	1.09	0.92	2.93	1.99	0.76	0.82	0.87	1.87	9	5	15.77	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	523	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03f		mgh03f07
2.95	3.378772	2.309535	1.919925	6.000000	0.323568:0.317587:0.358845:0.011933:-0.004393:-0.000371	6.000000	0.012490	ATRM				This study	Critical F: 3.1059									mgh03g01;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g01
	3.378772	2.309535	1.919925	6.000000	0.323568:0.317587:0.358845:0.011933:-0.004393:-0.000371		0.012490					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g01			8.35e-05	0.02	c	1.08	0.99	5.47	4.64	0.83	0.88	0.88	4.00	11	5	34.93	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g01
4.49	3.475397	6.003353	0.037642	6.000000	0.323542:0.321374:0.355084:-0.000427:0.006901:-0.006961	6.000000	0.010203	ATRM				This study	Critical F: 3.1059									mgh03g02;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g02
	3.475397	6.003353	0.037642	6.000000	0.323542:0.321374:0.355084:-0.000427:0.006901:-0.006961		0.010203					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g02			8.46e-05	0.02	c	1.10	0.99	3.41	3.21	0.85	0.87	0.87	4.11	11	5	29.90	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g02
6.18	6.389510	5.894111	2.358098	6.000000	0.326150:0.321348:0.352502:-0.011817:-0.006654:0.009632	6.000000	0.008359	ATRM				This study	Critical F: 3.1059									mgh03g03;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g03
	6.389510	5.894111	2.358098	6.000000	0.326150:0.321348:0.352502:-0.011817:-0.006654:0.009632		0.008359					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g03			8.61e-05	0.03	c	1.06	0.96	4.68	2.13	0.84	0.86	0.87	4.65	10	4	26.43	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	373	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g03
10.20	1.436740	0.535036	1.318837	6.000000	0.340252:0.339935:0.319813:-0.004335:0.010008:-0.007168	6.000000	0.013084	ATRM				This study	Critical F: 3.1059									mgh03g04;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g04
	1.436740	0.535036	1.318837	6.000000	0.340252:0.339935:0.319813:-0.004335:0.010008:-0.007168		0.013084					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g04			9.64e-05	0.05	c	1.09	0.98	3.30	7.85	0.90	0.86	0.87	2.26	11	5	15.12	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g04
2.36	5.098805	7.737269	0.299771	6.000000	0.321683:0.326342:0.351975:-0.001930:-0.005259:0.008486	6.000000	0.007614	ATRM				This study	Critical F: 3.1059									mgh03g05;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g05
	5.098805	7.737269	0.299771	6.000000	0.321683:0.326342:0.351975:-0.001930:-0.005259:0.008486		0.007614					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g05			9.13e-05	0.04	c	1.09	0.95	3.87	2.00	0.91	0.85	0.90	1.95	12	5	18.94	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g05
2.21	18.063048	20.354680	4.232384	6.000000	0.339024:0.333835:0.327141:0.014899:0.005240:0.020075	6.000000	0.005520	ATRM				This study	Critical F: 3.1059									mgh03g06;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g06
	18.063048	20.354680	4.232384	6.000000	0.339024:0.333835:0.327141:0.014899:0.005240:0.020075		0.005520					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g06			9.33e-05	0.03	c	1.04	0.96	3.89	6.87	0.85	0.92	0.89	2.38	12	5	26.35	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g06
1.74	2.583002	2.045468	1.218847	6.000000	0.343136:0.327449:0.329415:0.001925:-0.010438:-0.012052	6.000000	0.010124	ATRM				This study	Critical F: 3.1059									mgh03g07;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g07
	2.583002	2.045468	1.218847	6.000000	0.343136:0.327449:0.329415:0.001925:-0.010438:-0.012052		0.010124					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g07			9.67e-05	0.04	c	1.03	0.94	2.47	3.15	0.80	0.80	0.88	3.08	10	4	15.95	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	773	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g07
0.93	5.114292	1.386945	5.452539	6.000000	0.320435:0.333378:0.346188:-0.018698:-0.006061:0.005141	6.000000	0.009514	ATRM				This study	Critical F: 3.1059									mgh03g08;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03g		mgh03g08
	5.114292	1.386945	5.452539	6.000000	0.320435:0.333378:0.346188:-0.018698:-0.006061:0.005141		0.009514					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03g08			8.84e-05	0.04	c	1.11	0.95	3.25	3.77	0.91	0.88	0.90	2.16	13	6	21.42	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	858	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03g		mgh03g08
43.02	5.838784	7.454814	0.901094	6.000000	0.360250:0.323612:0.316139:-0.033581:0.018576:-0.009577	6.000000	0.017050	ATRM				This study	Critical F: 3.1059									mgh03h01;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h01
	5.838784	7.454814	0.901094	6.000000	0.360250:0.323612:0.316139:-0.033581:0.018576:-0.009577		0.017050					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h01			8.79e-05	0.07	c	0.99	0.92	2.01	0.32	0.71	0.78	0.85	4.85	8	3	9.08	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	743	373	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h		mgh03h01
3.98	15.982437	16.962915	4.382798	6.000000	0.320618:0.334874:0.344509:-0.011138:0.034801:0.002704	6.000000	0.008627	ATRM				This study	Critical F: 3.1059									mgh03h02;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h02
	15.982437	16.962915	4.382798	6.000000	0.320618:0.334874:0.344509:-0.011138:0.034801:0.002704		0.008627					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h02			7.46e-05	0.02	c	1.09	0.90	1.86	1.05	0.79	0.80	0.86	2.56	9	4	28.76	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h		mgh03h02
4.61	6.271852	3.774831	4.066898	6.000000	0.330985:0.309130:0.359885:-0.009372:0.006516:-0.002473	6.000000	0.010004	ATRM				This study	Critical F: 3.1059									mgh03h03;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h03
	6.271852	3.774831	4.066898	6.000000	0.330985:0.309130:0.359885:-0.009372:0.006516:-0.002473		0.010004					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h03			7.42e-05	0.02	c	1.12	0.92	1.94	1.19	0.92	0.91	0.89	3.85	12	6	41.91	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	858	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h		mgh03h03
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							mgh03h		mgh03h04
1.25	8.487569	7.627547	3.282630	6.000000	0.336489:0.329053:0.334458:-0.008829:0.025994:-0.011588	6.000000	0.009224	ATRM				This study	Critical F: 3.1059									mgh03h05;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h05
	8.487569	7.627547	3.282630	6.000000	0.336489:0.329053:0.334458:-0.008829:0.025994:-0.011588		0.009224					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h05			8.23e-05	0.01	c	1.02	0.90	2.11	6.41	0.76	0.79	0.87	2.55	9	5	46.05	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h		mgh03h05
1.63	7.249589	6.658085	2.697240	6.000000	0.354982:0.328957:0.316060:-0.006831:-0.011519:0.031238	6.000000	0.013071	ATRM				This study	Critical F: 3.1059									mgh03h06;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h06
	7.249589	6.658085	2.697240	6.000000	0.354982:0.328957:0.316060:-0.006831:-0.011519:0.031238		0.013071					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h06			8.04e-05	0.03	c	0.95	0.93	1.01	0.89	0.75	0.79	0.87	2.50	9	4	20.91	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	773	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h		mgh03h06
13.05	19.525205	23.942796	3.505576	6.000000	0.335088:0.336982:0.327930:0.018318:-0.037535:-0.034212	6.000000	0.010971	ATRM				This study	Critical F: 3.1059									mgh03h07;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h07
	19.525205	23.942796	3.505576	6.000000	0.335088:0.336982:0.327930:0.018318:-0.037535:-0.034212		0.010971					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :mgh03h07			7.65e-05	0.02	c	1.09	0.92	2.22	0.64	0.95	0.93	0.91	4.74	14	6	35.27	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	858	273	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		mgh03h		mgh03h07
7.55	3.791693	2.256864	2.484334	6.000000	0.346143:0.318738:0.335119:0.015047:0.004154:-0.012546	6.000000	0.011169	ATRM				This study	Critical F: 3.1059									mgh03h08;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		mgh03h		mgh03h08
